[1875, 1200]
[folio, [425.0, 294.0, 344.0, 36.0], AIZVxUFH2F, 5710898]
[chapter-title, [205.0, 412.0, 745.0, 58.5], shoonya_2s8O2QM2Q9KWSL, 5710898]
[paragraph, [201.0, 569.0, 817.0, 36.0], shoonya_1s16JA53V94YJB, 5710898]
[paragraph, [201.0, 605.0, 817.0, 36.0], shoonya_1s16JA53V94YJB, 5710898]
[paragraph, [201.0, 641.0, 817.0, 36.0], shoonya_1s16JA53V94YJB, 5710898]
[paragraph, [201.0, 677.0, 817.0, 36.0], shoonya_1s16JA53V94YJB, 5710898]
[paragraph, [201.0, 713.0, 817.0, 36.0], shoonya_1s16JA53V94YJB, 5710898]
[paragraph, [204.0, 770.0, 303.0, 36.0], shoonya_3sLXG20HE4C7Y0, 5710898]
[paragraph, [199.0, 820.0, 836.0, 36.0], shoonya_0s2EMYR393N1J4, 5710898]
[paragraph, [199.0, 856.0, 836.0, 36.0], shoonya_0s2EMYR393N1J4, 5710898]
[paragraph, [199.0, 892.0, 836.0, 36.0], shoonya_0s2EMYR393N1J4, 5710898]
[paragraph, [199.0, 928.0, 836.0, 36.0], shoonya_0s2EMYR393N1J4, 5710898]
[paragraph, [199.0, 964.0, 836.0, 36.0], shoonya_0s2EMYR393N1J4, 5710898]
[paragraph, [199.0, 1000.0, 836.0, 36.0], shoonya_0s2EMYR393N1J4, 5710898]
[paragraph, [199.0, 1036.0, 836.0, 36.0], shoonya_0s2EMYR393N1J4, 5710898]
[paragraph, [199.0, 1072.0, 836.0, 36.0], shoonya_0s2EMYR393N1J4, 5710898]
[paragraph, [199.0, 1108.0, 836.0, 36.0], shoonya_0s2EMYR393N1J4, 5710898]
[paragraph, [199.0, 1144.0, 836.0, 36.0], shoonya_0s2EMYR393N1J4, 5710898]
[paragraph, [199.0, 1180.0, 836.0, 36.0], shoonya_0s2EMYR393N1J4, 5710898]
[paragraph, [199.0, 1216.0, 836.0, 36.0], shoonya_0s2EMYR393N1J4, 5710898]
[paragraph, [199.0, 1252.0, 836.0, 36.0], shoonya_0s2EMYR393N1J4, 5710898]
[paragraph, [199.0, 1288.0, 836.0, 36.0], shoonya_0s2EMYR393N1J4, 5710898]
[paragraph, [199.0, 1324.0, 836.0, 36.0], shoonya_0s2EMYR393N1J4, 5710898]
[paragraph, [199.0, 1360.0, 836.0, 36.0], shoonya_0s2EMYR393N1J4, 5710898]
[paragraph, [199.0, 1396.0, 836.0, 36.0], shoonya_0s2EMYR393N1J4, 5710898]
[paragraph, [199.0, 1432.0, 836.0, 36.0], shoonya_0s2EMYR393N1J4, 5710898]
[paragraph, [199.0, 1468.0, 836.0, 36.0], shoonya_0s2EMYR393N1J4, 5710898]
[paragraph, [199.0, 1504.0, 836.0, 36.0], shoonya_0s2EMYR393N1J4, 5710898]
[paragraph, [199.0, 1540.0, 836.0, 36.0], shoonya_0s2EMYR393N1J4, 5710898]
