[1755, 1241]
[paragraph, [189.0, 266.0, 832.0, 36.0], XyzzDcqbgY, 5710950]
[paragraph, [189.0, 302.0, 832.0, 36.0], XyzzDcqbgY, 5710950]
[paragraph, [189.0, 338.0, 832.0, 36.0], XyzzDcqbgY, 5710950]
[paragraph, [189.0, 374.0, 832.0, 36.0], XyzzDcqbgY, 5710950]
[paragraph, [189.0, 410.0, 832.0, 36.0], XyzzDcqbgY, 5710950]
[paragraph, [189.0, 446.0, 832.0, 36.0], XyzzDcqbgY, 5710950]
[paragraph, [189.0, 482.0, 832.0, 36.0], XyzzDcqbgY, 5710950]
[paragraph, [217.0, 539.0, 795.0, 36.0], shoonya_0sBIJKIVL95ORY, 5710950]
[paragraph, [217.0, 575.0, 795.0, 36.0], shoonya_0sBIJKIVL95ORY, 5710950]
[paragraph, [217.0, 611.0, 795.0, 36.0], shoonya_0sBIJKIVL95ORY, 5710950]
[paragraph, [217.0, 647.0, 795.0, 36.0], shoonya_0sBIJKIVL95ORY, 5710950]
[paragraph, [217.0, 683.0, 795.0, 36.0], shoonya_0sBIJKIVL95ORY, 5710950]
[paragraph, [217.0, 719.0, 795.0, 36.0], shoonya_0sBIJKIVL95ORY, 5710950]
[paragraph, [217.0, 755.0, 795.0, 36.0], shoonya_0sBIJKIVL95ORY, 5710950]
[paragraph, [217.0, 791.0, 795.0, 36.0], shoonya_0sBIJKIVL95ORY, 5710950]
[paragraph, [217.0, 827.0, 795.0, 36.0], shoonya_0sBIJKIVL95ORY, 5710950]
[paragraph, [220.0, 875.0, 787.0, 36.0], shoonya_4sOMUFPJK15JVL, 5710950]
[paragraph, [220.0, 911.0, 787.0, 36.0], shoonya_4sOMUFPJK15JVL, 5710950]
[paragraph, [220.0, 947.0, 787.0, 36.0], shoonya_4sOMUFPJK15JVL, 5710950]
[paragraph, [220.0, 983.0, 787.0, 36.0], shoonya_4sOMUFPJK15JVL, 5710950]
[paragraph, [220.0, 1019.0, 787.0, 36.0], shoonya_4sOMUFPJK15JVL, 5710950]
[paragraph, [220.0, 1092.0, 789.0, 36.0], shoonya_3sE93UGXV77D6N, 5710950]
[paragraph, [220.0, 1128.0, 789.0, 36.0], shoonya_3sE93UGXV77D6N, 5710950]
[paragraph, [220.0, 1164.0, 789.0, 36.0], shoonya_3sE93UGXV77D6N, 5710950]
[paragraph, [220.0, 1200.0, 789.0, 36.0], shoonya_3sE93UGXV77D6N, 5710950]
[paragraph, [220.0, 1236.0, 789.0, 36.0], shoonya_3sE93UGXV77D6N, 5710950]
[paragraph, [220.0, 1272.0, 789.0, 36.0], shoonya_3sE93UGXV77D6N, 5710950]
[paragraph, [220.0, 1308.0, 789.0, 36.0], shoonya_3sE93UGXV77D6N, 5710950]
[paragraph, [220.0, 1344.0, 789.0, 36.0], shoonya_3sE93UGXV77D6N, 5710950]
[paragraph, [220.0, 1380.0, 789.0, 36.0], shoonya_3sE93UGXV77D6N, 5710950]
[paragraph, [220.0, 1416.0, 789.0, 36.0], shoonya_3sE93UGXV77D6N, 5710950]
[paragraph, [220.0, 1452.0, 789.0, 36.0], shoonya_3sE93UGXV77D6N, 5710950]
[contact-info, [658.0, 1509.0, 319.0, 36.0], 0UJBh2e3af, 5710950]
[contact-info, [221.0, 1522.0, 222.0, 36.0], shoonya_2sNM78CGM8949T, 5710950]
