[595, 401]
[folio, [62.0, 50.0, 133.0, 18.0], f_KI6LBDQG, 5711152]
[paragraph, [57.0, 82.0, 292.0, 18.0], shoonya_1s4TRCXWQYDY5S, 5711152]
[paragraph, [57.0, 100.0, 292.0, 18.0], shoonya_1s4TRCXWQYDY5S, 5711152]
[paragraph, [57.0, 118.0, 292.0, 18.0], shoonya_1s4TRCXWQYDY5S, 5711152]
[paragraph, [57.0, 136.0, 292.0, 18.0], shoonya_1s4TRCXWQYDY5S, 5711152]
[paragraph, [57.0, 154.0, 292.0, 18.0], shoonya_1s4TRCXWQYDY5S, 5711152]
[paragraph, [57.0, 172.0, 292.0, 18.0], shoonya_1s4TRCXWQYDY5S, 5711152]
[paragraph, [57.0, 190.0, 292.0, 18.0], shoonya_1s4TRCXWQYDY5S, 5711152]
[paragraph, [57.0, 208.0, 292.0, 18.0], shoonya_1s4TRCXWQYDY5S, 5711152]
[paragraph, [56.0, 242.0, 288.0, 18.0], shoonya_0sLJLJ964PTYYN, 5711152]
[paragraph, [56.0, 260.0, 288.0, 18.0], shoonya_0sLJLJ964PTYYN, 5711152]
[paragraph, [56.0, 278.0, 288.0, 18.0], shoonya_0sLJLJ964PTYYN, 5711152]
[paragraph, [56.0, 296.0, 288.0, 18.0], shoonya_0sLJLJ964PTYYN, 5711152]
[paragraph, [56.0, 314.0, 288.0, 18.0], shoonya_0sLJLJ964PTYYN, 5711152]
[paragraph, [56.0, 332.0, 288.0, 18.0], shoonya_0sLJLJ964PTYYN, 5711152]
[paragraph, [56.0, 350.0, 288.0, 18.0], shoonya_0sLJLJ964PTYYN, 5711152]
[paragraph, [56.0, 368.0, 288.0, 18.0], shoonya_0sLJLJ964PTYYN, 5711152]
[paragraph, [56.0, 386.0, 288.0, 18.0], shoonya_0sLJLJ964PTYYN, 5711152]
[paragraph, [56.0, 404.0, 288.0, 18.0], shoonya_0sLJLJ964PTYYN, 5711152]
[paragraph, [56.0, 422.0, 288.0, 18.0], shoonya_0sLJLJ964PTYYN, 5711152]
[paragraph, [56.0, 440.0, 288.0, 18.0], shoonya_0sLJLJ964PTYYN, 5711152]
[paragraph, [56.0, 458.0, 288.0, 18.0], shoonya_0sLJLJ964PTYYN, 5711152]
[paragraph, [60.0, 479.0, 285.0, 18.0], shoonya_3sUYRJ0T8RVHQ9, 5711152]
[paragraph, [60.0, 497.0, 285.0, 18.0], shoonya_3sUYRJ0T8RVHQ9, 5711152]
[paragraph, [60.0, 515.0, 285.0, 18.0], shoonya_3sUYRJ0T8RVHQ9, 5711152]
