[595, 401]
[folio, [243.0, 47.0, 106.0, 18.0], erHSSzUKsM, 5711330]
[paragraph, [53.0, 81.0, 292.0, 18.0], shoonya_1s9F9T12QBOI41, 5711330]
[paragraph, [53.0, 99.0, 292.0, 18.0], shoonya_1s9F9T12QBOI41, 5711330]
[paragraph, [53.0, 117.0, 292.0, 18.0], shoonya_1s9F9T12QBOI41, 5711330]
[paragraph, [53.0, 135.0, 292.0, 18.0], shoonya_1s9F9T12QBOI41, 5711330]
[paragraph, [53.0, 153.0, 292.0, 18.0], shoonya_1s9F9T12QBOI41, 5711330]
[paragraph, [53.0, 171.0, 292.0, 18.0], shoonya_1s9F9T12QBOI41, 5711330]
[paragraph, [53.0, 189.0, 292.0, 18.0], shoonya_1s9F9T12QBOI41, 5711330]
[paragraph, [53.0, 207.0, 292.0, 18.0], shoonya_1s9F9T12QBOI41, 5711330]
[paragraph, [53.0, 225.0, 292.0, 18.0], shoonya_1s9F9T12QBOI41, 5711330]
[paragraph, [53.0, 243.0, 292.0, 18.0], shoonya_1s9F9T12QBOI41, 5711330]
[paragraph, [53.0, 261.0, 292.0, 18.0], shoonya_1s9F9T12QBOI41, 5711330]
[paragraph, [53.0, 279.0, 292.0, 18.0], shoonya_1s9F9T12QBOI41, 5711330]
[paragraph, [53.0, 297.0, 292.0, 18.0], shoonya_1s9F9T12QBOI41, 5711330]
[paragraph, [53.0, 315.0, 292.0, 18.0], shoonya_1s9F9T12QBOI41, 5711330]
[paragraph, [53.0, 333.0, 292.0, 18.0], shoonya_1s9F9T12QBOI41, 5711330]
[paragraph, [53.0, 351.0, 292.0, 18.0], shoonya_1s9F9T12QBOI41, 5711330]
[paragraph, [53.0, 369.0, 292.0, 18.0], shoonya_1s9F9T12QBOI41, 5711330]
[paragraph, [53.0, 387.0, 292.0, 18.0], shoonya_1s9F9T12QBOI41, 5711330]
[paragraph, [70.0, 415.0, 265.0, 18.0], nq9dUu5YgB, 5711330]
[paragraph, [70.0, 433.0, 265.0, 18.0], nq9dUu5YgB, 5711330]
[paragraph, [70.0, 451.0, 265.0, 18.0], nq9dUu5YgB, 5711330]
[paragraph, [46.0, 481.0, 303.0, 18.0], -pdcGgWWqM, 5711330]
[paragraph, [46.0, 499.0, 303.0, 18.0], -pdcGgWWqM, 5711330]
[paragraph, [46.0, 517.0, 303.0, 18.0], -pdcGgWWqM, 5711330]
[paragraph, [46.0, 535.0, 303.0, 18.0], -pdcGgWWqM, 5711330]
