[2200, 1700]
[paragraph, [330.0, 84.0, 1093.0, 36.0], shoonya_3sXIWLWO6ZXALY, 5731613]
[paragraph, [330.0, 120.0, 1093.0, 36.0], shoonya_3sXIWLWO6ZXALY, 5731613]
[paragraph, [330.0, 156.0, 1093.0, 36.0], shoonya_3sXIWLWO6ZXALY, 5731613]
[ordered-list, [329.0, 200.0, 1098.0, 36.0], shoonya_1sSEOXV044HWMT, 5731613]
[ordered-list, [329.0, 236.0, 1098.0, 36.0], shoonya_1sSEOXV044HWMT, 5731613]
[ordered-list, [329.0, 272.0, 1098.0, 36.0], shoonya_1sSEOXV044HWMT, 5731613]
[ordered-list, [329.0, 308.0, 1098.0, 36.0], shoonya_1sSEOXV044HWMT, 5731613]
[ordered-list, [329.0, 344.0, 1098.0, 36.0], shoonya_1sSEOXV044HWMT, 5731613]
[ordered-list, [329.0, 380.0, 1098.0, 36.0], shoonya_1sSEOXV044HWMT, 5731613]
[ordered-list, [329.0, 416.0, 1098.0, 36.0], shoonya_1sSEOXV044HWMT, 5731613]
[ordered-list, [329.0, 452.0, 1098.0, 36.0], shoonya_1sSEOXV044HWMT, 5731613]
[ordered-list, [329.0, 488.0, 1098.0, 36.0], shoonya_1sSEOXV044HWMT, 5731613]
[ordered-list, [329.0, 524.0, 1098.0, 36.0], shoonya_1sSEOXV044HWMT, 5731613]
[ordered-list, [329.0, 560.0, 1098.0, 36.0], shoonya_1sSEOXV044HWMT, 5731613]
[ordered-list, [329.0, 596.0, 1098.0, 36.0], shoonya_1sSEOXV044HWMT, 5731613]
[ordered-list, [329.0, 632.0, 1098.0, 36.0], shoonya_1sSEOXV044HWMT, 5731613]
[ordered-list, [329.0, 668.0, 1098.0, 36.0], shoonya_1sSEOXV044HWMT, 5731613]
[ordered-list, [329.0, 704.0, 1098.0, 36.0], shoonya_1sSEOXV044HWMT, 5731613]
[ordered-list, [329.0, 740.0, 1098.0, 36.0], shoonya_1sSEOXV044HWMT, 5731613]
[ordered-list, [329.0, 776.0, 1098.0, 36.0], shoonya_1sSEOXV044HWMT, 5731613]
[ordered-list, [329.0, 812.0, 1098.0, 36.0], shoonya_1sSEOXV044HWMT, 5731613]
[ordered-list, [329.0, 848.0, 1098.0, 36.0], shoonya_1sSEOXV044HWMT, 5731613]
[ordered-list, [329.0, 884.0, 1098.0, 36.0], shoonya_1sSEOXV044HWMT, 5731613]
[ordered-list, [329.0, 920.0, 1098.0, 36.0], shoonya_1sSEOXV044HWMT, 5731613]
[ordered-list, [329.0, 956.0, 1098.0, 36.0], shoonya_1sSEOXV044HWMT, 5731613]
[section-title, [332.0, 1021.0, 1074.0, 52.5], shoonya_5sDG70HQ4YXUMA, 5731613]
[paragraph, [328.0, 1089.0, 1089.0, 36.0], shoonya_0sUPVMU3DK5FDI, 5731613]
[paragraph, [328.0, 1125.0, 1089.0, 36.0], shoonya_0sUPVMU3DK5FDI, 5731613]
[paragraph, [328.0, 1161.0, 1089.0, 36.0], shoonya_0sUPVMU3DK5FDI, 5731613]
[paragraph, [328.0, 1197.0, 1089.0, 36.0], shoonya_0sUPVMU3DK5FDI, 5731613]
[paragraph, [328.0, 1233.0, 1089.0, 36.0], shoonya_0sUPVMU3DK5FDI, 5731613]
[paragraph, [328.0, 1269.0, 1089.0, 36.0], shoonya_0sUPVMU3DK5FDI, 5731613]
[paragraph, [328.0, 1305.0, 1089.0, 36.0], shoonya_0sUPVMU3DK5FDI, 5731613]
[paragraph, [328.0, 1341.0, 1089.0, 36.0], shoonya_0sUPVMU3DK5FDI, 5731613]
[paragraph, [328.0, 1377.0, 1089.0, 36.0], shoonya_0sUPVMU3DK5FDI, 5731613]
[paragraph, [328.0, 1413.0, 1089.0, 36.0], shoonya_0sUPVMU3DK5FDI, 5731613]
[paragraph, [328.0, 1449.0, 1089.0, 36.0], shoonya_0sUPVMU3DK5FDI, 5731613]
[paragraph, [328.0, 1485.0, 1089.0, 36.0], shoonya_0sUPVMU3DK5FDI, 5731613]
[paragraph, [328.0, 1521.0, 1089.0, 36.0], shoonya_0sUPVMU3DK5FDI, 5731613]
[paragraph, [328.0, 1557.0, 1089.0, 36.0], shoonya_0sUPVMU3DK5FDI, 5731613]
[paragraph, [328.0, 1593.0, 1089.0, 36.0], shoonya_0sUPVMU3DK5FDI, 5731613]
[paragraph, [326.0, 1654.0, 1094.0, 36.0], shoonya_2sDIJBWU6PBHWL, 5731613]
[paragraph, [326.0, 1690.0, 1094.0, 36.0], shoonya_2sDIJBWU6PBHWL, 5731613]
[paragraph, [326.0, 1726.0, 1094.0, 36.0], shoonya_2sDIJBWU6PBHWL, 5731613]
[paragraph, [326.0, 1762.0, 1094.0, 36.0], shoonya_2sDIJBWU6PBHWL, 5731613]
[paragraph, [326.0, 1798.0, 1094.0, 36.0], shoonya_2sDIJBWU6PBHWL, 5731613]
[paragraph, [326.0, 1834.0, 1094.0, 36.0], shoonya_2sDIJBWU6PBHWL, 5731613]
[paragraph, [326.0, 1870.0, 1094.0, 36.0], shoonya_2sDIJBWU6PBHWL, 5731613]
[paragraph, [326.0, 1906.0, 1094.0, 36.0], shoonya_2sDIJBWU6PBHWL, 5731613]
[folio, [823.0, 2023.0, 479.0, 36.0], nN_K6-TymC, 5731613]
