[2339, 1656]
[paragraph, [191.0, 205.0, 1277.0, 36.0], shoonya_2sUWVY92ANAMIQ, 5730681]
[paragraph, [191.0, 241.0, 1277.0, 36.0], shoonya_2sUWVY92ANAMIQ, 5730681]
[paragraph, [191.0, 277.0, 1277.0, 36.0], shoonya_2sUWVY92ANAMIQ, 5730681]
[paragraph, [187.0, 343.0, 1278.0, 36.0], shoonya_1sXV1VQ05HOQVD, 5730681]
[paragraph, [187.0, 379.0, 1278.0, 36.0], shoonya_1sXV1VQ05HOQVD, 5730681]
[paragraph, [187.0, 415.0, 1278.0, 36.0], shoonya_1sXV1VQ05HOQVD, 5730681]
[paragraph, [187.0, 451.0, 1278.0, 36.0], shoonya_1sXV1VQ05HOQVD, 5730681]
[paragraph, [187.0, 487.0, 1278.0, 36.0], shoonya_1sXV1VQ05HOQVD, 5730681]
[paragraph, [187.0, 523.0, 1278.0, 36.0], shoonya_1sXV1VQ05HOQVD, 5730681]
[paragraph, [187.0, 559.0, 1278.0, 36.0], shoonya_1sXV1VQ05HOQVD, 5730681]
[paragraph, [186.0, 639.0, 1283.0, 36.0], shoonya_3sBKU5ZFVRV40A, 5730681]
[paragraph, [186.0, 675.0, 1283.0, 36.0], shoonya_3sBKU5ZFVRV40A, 5730681]
[paragraph, [186.0, 711.0, 1283.0, 36.0], shoonya_3sBKU5ZFVRV40A, 5730681]
[paragraph, [186.0, 747.0, 1283.0, 36.0], shoonya_3sBKU5ZFVRV40A, 5730681]
[paragraph, [186.0, 783.0, 1283.0, 36.0], shoonya_3sBKU5ZFVRV40A, 5730681]
[paragraph, [186.0, 819.0, 1283.0, 36.0], shoonya_3sBKU5ZFVRV40A, 5730681]
[paragraph, [186.0, 855.0, 1283.0, 36.0], shoonya_3sBKU5ZFVRV40A, 5730681]
[paragraph, [186.0, 891.0, 1283.0, 36.0], shoonya_3sBKU5ZFVRV40A, 5730681]
[paragraph, [186.0, 927.0, 1283.0, 36.0], shoonya_3sBKU5ZFVRV40A, 5730681]
[paragraph, [186.0, 963.0, 1283.0, 36.0], shoonya_3sBKU5ZFVRV40A, 5730681]
[paragraph, [186.0, 999.0, 1283.0, 36.0], shoonya_3sBKU5ZFVRV40A, 5730681]
[paragraph, [186.0, 1035.0, 1283.0, 36.0], shoonya_3sBKU5ZFVRV40A, 5730681]
[paragraph, [186.0, 1071.0, 1283.0, 36.0], shoonya_3sBKU5ZFVRV40A, 5730681]
[paragraph, [186.0, 1125.0, 1283.0, 36.0], jyGagVgVe3, 5730681]
[paragraph, [186.0, 1161.0, 1283.0, 36.0], jyGagVgVe3, 5730681]
[paragraph, [186.0, 1197.0, 1283.0, 36.0], jyGagVgVe3, 5730681]
[paragraph, [186.0, 1233.0, 1283.0, 36.0], jyGagVgVe3, 5730681]
[paragraph, [186.0, 1269.0, 1283.0, 36.0], jyGagVgVe3, 5730681]
[paragraph, [186.0, 1305.0, 1283.0, 36.0], jyGagVgVe3, 5730681]
[paragraph, [186.0, 1341.0, 1283.0, 36.0], jyGagVgVe3, 5730681]
[paragraph, [186.0, 1377.0, 1283.0, 36.0], jyGagVgVe3, 5730681]
[paragraph, [186.0, 1413.0, 1283.0, 36.0], jyGagVgVe3, 5730681]
[paragraph, [186.0, 1449.0, 1283.0, 36.0], jyGagVgVe3, 5730681]
[paragraph, [186.0, 1485.0, 1283.0, 36.0], jyGagVgVe3, 5730681]
[paragraph, [186.0, 1521.0, 1283.0, 36.0], jyGagVgVe3, 5730681]
[paragraph, [186.0, 1557.0, 1283.0, 36.0], jyGagVgVe3, 5730681]
[paragraph, [186.0, 1593.0, 1283.0, 36.0], jyGagVgVe3, 5730681]
[paragraph, [186.0, 1629.0, 1283.0, 36.0], jyGagVgVe3, 5730681]
[paragraph, [185.0, 1703.0, 1283.0, 36.0], shoonya_0sCC1XOSCSG8CQ, 5730681]
[paragraph, [185.0, 1739.0, 1283.0, 36.0], shoonya_0sCC1XOSCSG8CQ, 5730681]
[paragraph, [185.0, 1775.0, 1283.0, 36.0], shoonya_0sCC1XOSCSG8CQ, 5730681]
[paragraph, [185.0, 1811.0, 1283.0, 36.0], shoonya_0sCC1XOSCSG8CQ, 5730681]
[paragraph, [185.0, 1847.0, 1283.0, 36.0], shoonya_0sCC1XOSCSG8CQ, 5730681]
[paragraph, [185.0, 1883.0, 1283.0, 36.0], shoonya_0sCC1XOSCSG8CQ, 5730681]
[paragraph, [185.0, 1919.0, 1283.0, 36.0], shoonya_0sCC1XOSCSG8CQ, 5730681]
[paragraph, [185.0, 1955.0, 1283.0, 36.0], shoonya_0sCC1XOSCSG8CQ, 5730681]
[paragraph, [185.0, 1991.0, 1283.0, 36.0], shoonya_0sCC1XOSCSG8CQ, 5730681]
[paragraph, [185.0, 2027.0, 1283.0, 36.0], shoonya_0sCC1XOSCSG8CQ, 5730681]
[paragraph, [185.0, 2063.0, 1283.0, 36.0], shoonya_0sCC1XOSCSG8CQ, 5730681]
