[612, 396]
[ordered-list, [37.0, 68.0, 211.0, 18.0], uzd1zdxBuU, 6515419]
[ordered-list, [37.0, 86.0, 211.0, 18.0], uzd1zdxBuU, 6515419]
[ordered-list, [37.0, 104.0, 211.0, 18.0], uzd1zdxBuU, 6515419]
[paragraph, [37.0, 160.0, 285.0, 18.0], 9mvK2lMkxv, 6515419]
[ordered-list, [36.0, 203.0, 279.0, 18.0], VDGK1UGbzN, 6515419]
[ordered-list, [36.0, 221.0, 279.0, 18.0], VDGK1UGbzN, 6515419]
[ordered-list, [36.0, 239.0, 279.0, 18.0], VDGK1UGbzN, 6515419]
[paragraph, [32.0, 275.0, 328.0, 18.0], shoonya_0sRPUEMQQ1SE7I, 6515419]
[paragraph, [32.0, 293.0, 328.0, 18.0], shoonya_0sRPUEMQQ1SE7I, 6515419]
[paragraph, [32.0, 311.0, 328.0, 18.0], shoonya_0sRPUEMQQ1SE7I, 6515419]
[paragraph, [32.0, 329.0, 328.0, 18.0], shoonya_0sRPUEMQQ1SE7I, 6515419]
[paragraph, [32.0, 347.0, 328.0, 18.0], shoonya_0sRPUEMQQ1SE7I, 6515419]
[paragraph, [32.0, 365.0, 328.0, 18.0], shoonya_0sRPUEMQQ1SE7I, 6515419]
[paragraph, [32.0, 383.0, 328.0, 18.0], shoonya_0sRPUEMQQ1SE7I, 6515419]
[paragraph, [32.0, 401.0, 328.0, 18.0], shoonya_0sRPUEMQQ1SE7I, 6515419]
[paragraph, [32.0, 419.0, 328.0, 18.0], shoonya_0sRPUEMQQ1SE7I, 6515419]
[paragraph, [32.0, 437.0, 328.0, 18.0], shoonya_0sRPUEMQQ1SE7I, 6515419]
[paragraph, [32.0, 455.0, 328.0, 18.0], shoonya_0sRPUEMQQ1SE7I, 6515419]
[paragraph, [32.0, 473.0, 328.0, 18.0], shoonya_0sRPUEMQQ1SE7I, 6515419]
[paragraph, [32.0, 491.0, 328.0, 18.0], shoonya_0sRPUEMQQ1SE7I, 6515419]
[paragraph, [32.0, 509.0, 328.0, 18.0], shoonya_0sRPUEMQQ1SE7I, 6515419]
[paragraph, [32.0, 527.0, 328.0, 18.0], shoonya_0sRPUEMQQ1SE7I, 6515419]
