[612, 396]
[author, [158.0, 96.0, 83.0, 18.0], d3OAIxwfR4, 6517540]
[paragraph, [40.0, 137.0, 319.0, 18.0], shoonya_0sZANZRB6P9N4Y, 6517540]
[paragraph, [40.0, 155.0, 319.0, 18.0], shoonya_0sZANZRB6P9N4Y, 6517540]
[paragraph, [40.0, 173.0, 319.0, 18.0], shoonya_0sZANZRB6P9N4Y, 6517540]
[paragraph, [40.0, 191.0, 319.0, 18.0], shoonya_0sZANZRB6P9N4Y, 6517540]
[paragraph, [40.0, 209.0, 319.0, 18.0], shoonya_0sZANZRB6P9N4Y, 6517540]
[paragraph, [40.0, 227.0, 319.0, 18.0], shoonya_0sZANZRB6P9N4Y, 6517540]
[paragraph, [40.0, 245.0, 319.0, 18.0], shoonya_0sZANZRB6P9N4Y, 6517540]
[paragraph, [40.0, 263.0, 319.0, 18.0], shoonya_0sZANZRB6P9N4Y, 6517540]
[paragraph, [40.0, 281.0, 319.0, 18.0], shoonya_0sZANZRB6P9N4Y, 6517540]
[paragraph, [40.0, 299.0, 319.0, 18.0], shoonya_0sZANZRB6P9N4Y, 6517540]
[paragraph, [40.0, 317.0, 319.0, 18.0], shoonya_0sZANZRB6P9N4Y, 6517540]
[paragraph, [40.0, 335.0, 319.0, 18.0], shoonya_0sZANZRB6P9N4Y, 6517540]
[paragraph, [40.0, 353.0, 319.0, 18.0], shoonya_0sZANZRB6P9N4Y, 6517540]
[paragraph, [40.0, 371.0, 319.0, 18.0], shoonya_0sZANZRB6P9N4Y, 6517540]
[paragraph, [39.0, 416.0, 321.0, 18.0], shoonya_1sCBIM1THUINR3, 6517540]
[paragraph, [39.0, 434.0, 321.0, 18.0], shoonya_1sCBIM1THUINR3, 6517540]
[paragraph, [39.0, 452.0, 321.0, 18.0], shoonya_1sCBIM1THUINR3, 6517540]
[paragraph, [39.0, 470.0, 321.0, 18.0], shoonya_1sCBIM1THUINR3, 6517540]
[paragraph, [39.0, 488.0, 321.0, 18.0], shoonya_1sCBIM1THUINR3, 6517540]
[paragraph, [39.0, 506.0, 321.0, 18.0], shoonya_1sCBIM1THUINR3, 6517540]
[paragraph, [39.0, 524.0, 321.0, 18.0], shoonya_1sCBIM1THUINR3, 6517540]
