[648, 414]
[paragraph, [51.0, 93.0, 311.0, 18.0], YDYhbczk4C, 6514004]
[paragraph, [51.0, 111.0, 311.0, 18.0], YDYhbczk4C, 6514004]
[paragraph, [51.0, 129.0, 311.0, 18.0], YDYhbczk4C, 6514004]
[paragraph, [51.0, 147.0, 311.0, 18.0], YDYhbczk4C, 6514004]
[paragraph, [51.0, 165.0, 311.0, 18.0], YDYhbczk4C, 6514004]
[paragraph, [51.0, 183.0, 311.0, 18.0], YDYhbczk4C, 6514004]
[paragraph, [51.0, 208.0, 311.0, 18.0], Y_5rbgAUTI, 6514004]
[paragraph, [51.0, 226.0, 311.0, 18.0], Y_5rbgAUTI, 6514004]
[paragraph, [51.0, 244.0, 311.0, 18.0], Y_5rbgAUTI, 6514004]
[paragraph, [51.0, 270.0, 315.0, 18.0], JaPfqLr__u, 6514004]
[paragraph, [51.0, 288.0, 315.0, 18.0], JaPfqLr__u, 6514004]
[paragraph, [52.0, 316.0, 309.0, 18.0], LEM4KWqujT, 6514004]
[paragraph, [52.0, 334.0, 309.0, 18.0], LEM4KWqujT, 6514004]
[paragraph, [52.0, 352.0, 309.0, 18.0], LEM4KWqujT, 6514004]
[paragraph, [52.0, 370.0, 309.0, 18.0], LEM4KWqujT, 6514004]
[paragraph, [52.0, 388.0, 309.0, 18.0], LEM4KWqujT, 6514004]
[paragraph, [52.0, 406.0, 309.0, 18.0], LEM4KWqujT, 6514004]
[paragraph, [52.0, 424.0, 309.0, 18.0], LEM4KWqujT, 6514004]
[paragraph, [52.0, 442.0, 309.0, 18.0], LEM4KWqujT, 6514004]
[paragraph, [52.0, 460.0, 309.0, 18.0], LEM4KWqujT, 6514004]
[paragraph, [52.0, 478.0, 309.0, 18.0], LEM4KWqujT, 6514004]
[paragraph, [52.0, 496.0, 309.0, 18.0], LEM4KWqujT, 6514004]
[paragraph, [52.0, 514.0, 309.0, 18.0], LEM4KWqujT, 6514004]
[paragraph, [54.0, 549.0, 304.0, 18.0], Z6pK5s1eLa, 6514004]
[paragraph, [54.0, 567.0, 304.0, 18.0], Z6pK5s1eLa, 6514004]
