[576, 360]
[folio, [157.0, 30.0, 154.0, 18.0], UUtmXFhLGf, 6517228]
[author, [114.0, 88.0, 134.0, 18.0], 7Y2ml43rDU, 6517228]
[paragraph, [31.0, 130.0, 298.0, 18.0], shoonya_0sJ87MQ0YSTOYV, 6517228]
[paragraph, [31.0, 148.0, 298.0, 18.0], shoonya_0sJ87MQ0YSTOYV, 6517228]
[paragraph, [31.0, 166.0, 298.0, 18.0], shoonya_0sJ87MQ0YSTOYV, 6517228]
[paragraph, [31.0, 184.0, 298.0, 18.0], shoonya_0sJ87MQ0YSTOYV, 6517228]
[paragraph, [31.0, 202.0, 298.0, 18.0], shoonya_0sJ87MQ0YSTOYV, 6517228]
[paragraph, [31.0, 220.0, 298.0, 18.0], shoonya_0sJ87MQ0YSTOYV, 6517228]
[paragraph, [31.0, 238.0, 298.0, 18.0], shoonya_0sJ87MQ0YSTOYV, 6517228]
[paragraph, [31.0, 256.0, 298.0, 18.0], shoonya_0sJ87MQ0YSTOYV, 6517228]
[paragraph, [31.0, 274.0, 298.0, 18.0], shoonya_0sJ87MQ0YSTOYV, 6517228]
[paragraph, [31.0, 292.0, 298.0, 18.0], shoonya_0sJ87MQ0YSTOYV, 6517228]
[paragraph, [31.0, 310.0, 298.0, 18.0], shoonya_0sJ87MQ0YSTOYV, 6517228]
[paragraph, [31.0, 328.0, 298.0, 18.0], shoonya_0sJ87MQ0YSTOYV, 6517228]
[paragraph, [29.0, 366.0, 299.0, 18.0], 4wqBDVfZyx, 6517228]
[paragraph, [29.0, 384.0, 299.0, 18.0], 4wqBDVfZyx, 6517228]
[paragraph, [29.0, 402.0, 299.0, 18.0], 4wqBDVfZyx, 6517228]
[paragraph, [29.0, 420.0, 299.0, 18.0], 4wqBDVfZyx, 6517228]
[paragraph, [29.0, 438.0, 299.0, 18.0], 4wqBDVfZyx, 6517228]
[paragraph, [29.0, 456.0, 299.0, 18.0], 4wqBDVfZyx, 6517228]
[paragraph, [29.0, 474.0, 299.0, 18.0], 4wqBDVfZyx, 6517228]
[paragraph, [29.0, 492.0, 299.0, 18.0], 4wqBDVfZyx, 6517228]
