[576, 360]
[folio, [155.0, 32.0, 152.0, 18.0], Gs7fIXa5J5, 6517590]
[paragraph, [29.0, 62.0, 300.0, 18.0], shoonya_0sW7D7P45QZP55, 6517590]
[paragraph, [29.0, 80.0, 300.0, 18.0], shoonya_0sW7D7P45QZP55, 6517590]
[paragraph, [29.0, 98.0, 300.0, 18.0], shoonya_0sW7D7P45QZP55, 6517590]
[paragraph, [29.0, 116.0, 300.0, 18.0], shoonya_0sW7D7P45QZP55, 6517590]
[paragraph, [29.0, 134.0, 300.0, 18.0], shoonya_0sW7D7P45QZP55, 6517590]
[paragraph, [29.0, 152.0, 300.0, 18.0], shoonya_0sW7D7P45QZP55, 6517590]
[paragraph, [29.0, 170.0, 300.0, 18.0], shoonya_0sW7D7P45QZP55, 6517590]
[paragraph, [29.0, 188.0, 300.0, 18.0], shoonya_0sW7D7P45QZP55, 6517590]
[paragraph, [29.0, 206.0, 300.0, 18.0], shoonya_0sW7D7P45QZP55, 6517590]
[paragraph, [29.0, 224.0, 300.0, 18.0], shoonya_0sW7D7P45QZP55, 6517590]
[paragraph, [29.0, 242.0, 300.0, 18.0], shoonya_0sW7D7P45QZP55, 6517590]
[paragraph, [29.0, 260.0, 300.0, 18.0], shoonya_0sW7D7P45QZP55, 6517590]
[paragraph, [29.0, 278.0, 300.0, 18.0], shoonya_0sW7D7P45QZP55, 6517590]
[paragraph, [29.0, 296.0, 300.0, 18.0], shoonya_0sW7D7P45QZP55, 6517590]
[paragraph, [29.0, 314.0, 300.0, 18.0], shoonya_0sW7D7P45QZP55, 6517590]
[paragraph, [29.0, 332.0, 300.0, 18.0], shoonya_0sW7D7P45QZP55, 6517590]
[paragraph, [29.0, 350.0, 300.0, 18.0], shoonya_0sW7D7P45QZP55, 6517590]
[paragraph, [29.0, 368.0, 300.0, 18.0], shoonya_0sW7D7P45QZP55, 6517590]
[paragraph, [29.0, 386.0, 300.0, 18.0], shoonya_0sW7D7P45QZP55, 6517590]
[paragraph, [29.0, 404.0, 300.0, 18.0], shoonya_0sW7D7P45QZP55, 6517590]
[paragraph, [29.0, 422.0, 300.0, 18.0], shoonya_0sW7D7P45QZP55, 6517590]
[paragraph, [29.0, 440.0, 300.0, 18.0], shoonya_0sW7D7P45QZP55, 6517590]
[paragraph, [29.0, 458.0, 300.0, 18.0], shoonya_0sW7D7P45QZP55, 6517590]
[paragraph, [18.0, 504.0, 320.0, 18.0], qmAch08CdD, 6517590]
