[576, 360]
[folio, [66.0, 32.0, 71.0, 18.0], xdgW_ln_3j, 6516975]
[paragraph, [31.0, 57.0, 298.0, 18.0], shoonya_0sZWAMDMSHTM23, 6516975]
[paragraph, [31.0, 75.0, 298.0, 18.0], shoonya_0sZWAMDMSHTM23, 6516975]
[paragraph, [31.0, 93.0, 298.0, 18.0], shoonya_0sZWAMDMSHTM23, 6516975]
[paragraph, [31.0, 111.0, 298.0, 18.0], shoonya_0sZWAMDMSHTM23, 6516975]
[paragraph, [31.0, 129.0, 298.0, 18.0], shoonya_0sZWAMDMSHTM23, 6516975]
[paragraph, [31.0, 147.0, 298.0, 18.0], shoonya_0sZWAMDMSHTM23, 6516975]
[paragraph, [31.0, 165.0, 298.0, 18.0], shoonya_0sZWAMDMSHTM23, 6516975]
[paragraph, [31.0, 183.0, 298.0, 18.0], shoonya_0sZWAMDMSHTM23, 6516975]
[paragraph, [31.0, 201.0, 298.0, 18.0], shoonya_0sZWAMDMSHTM23, 6516975]
[paragraph, [31.0, 219.0, 298.0, 18.0], shoonya_0sZWAMDMSHTM23, 6516975]
[paragraph, [31.0, 237.0, 298.0, 18.0], shoonya_0sZWAMDMSHTM23, 6516975]
[paragraph, [31.0, 255.0, 298.0, 18.0], shoonya_0sZWAMDMSHTM23, 6516975]
[paragraph, [31.0, 273.0, 298.0, 18.0], shoonya_0sZWAMDMSHTM23, 6516975]
[paragraph, [31.0, 291.0, 298.0, 18.0], shoonya_0sZWAMDMSHTM23, 6516975]
[paragraph, [31.0, 309.0, 298.0, 18.0], shoonya_0sZWAMDMSHTM23, 6516975]
[paragraph, [31.0, 327.0, 298.0, 18.0], shoonya_0sZWAMDMSHTM23, 6516975]
[paragraph, [31.0, 345.0, 298.0, 18.0], shoonya_0sZWAMDMSHTM23, 6516975]
[paragraph, [31.0, 363.0, 298.0, 18.0], shoonya_0sZWAMDMSHTM23, 6516975]
[paragraph, [29.0, 406.0, 301.0, 18.0], shoonya_1sJCIBMTKKL9XB, 6516975]
[paragraph, [29.0, 424.0, 301.0, 18.0], shoonya_1sJCIBMTKKL9XB, 6516975]
[paragraph, [29.0, 442.0, 301.0, 18.0], shoonya_1sJCIBMTKKL9XB, 6516975]
[paragraph, [29.0, 460.0, 301.0, 18.0], shoonya_1sJCIBMTKKL9XB, 6516975]
[paragraph, [29.0, 478.0, 301.0, 18.0], shoonya_1sJCIBMTKKL9XB, 6516975]
[paragraph, [29.0, 496.0, 301.0, 18.0], shoonya_1sJCIBMTKKL9XB, 6516975]
[paragraph, [29.0, 514.0, 301.0, 18.0], shoonya_1sJCIBMTKKL9XB, 6516975]
