[576, 360]
[folio, [68.0, 32.0, 69.0, 18.0], EbDA7oXiHy, 6514956]
[paragraph, [32.0, 57.0, 294.0, 18.0], shoonya_1sR3HCTOCZOMMM, 6514956]
[paragraph, [32.0, 75.0, 294.0, 18.0], shoonya_1sR3HCTOCZOMMM, 6514956]
[paragraph, [32.0, 122.0, 299.0, 18.0], shoonya_0sQE5VEZPKY919, 6514956]
[paragraph, [32.0, 140.0, 299.0, 18.0], shoonya_0sQE5VEZPKY919, 6514956]
[paragraph, [32.0, 158.0, 299.0, 18.0], shoonya_0sQE5VEZPKY919, 6514956]
[paragraph, [32.0, 176.0, 299.0, 18.0], shoonya_0sQE5VEZPKY919, 6514956]
[paragraph, [32.0, 194.0, 299.0, 18.0], shoonya_0sQE5VEZPKY919, 6514956]
[paragraph, [32.0, 212.0, 299.0, 18.0], shoonya_0sQE5VEZPKY919, 6514956]
[paragraph, [32.0, 230.0, 299.0, 18.0], shoonya_0sQE5VEZPKY919, 6514956]
[paragraph, [32.0, 248.0, 299.0, 18.0], shoonya_0sQE5VEZPKY919, 6514956]
[paragraph, [32.0, 266.0, 299.0, 18.0], shoonya_0sQE5VEZPKY919, 6514956]
[paragraph, [33.0, 319.0, 293.0, 18.0], shoonya_6sIWVU5L4FNT3J, 6514956]
[paragraph, [33.0, 337.0, 293.0, 18.0], shoonya_6sIWVU5L4FNT3J, 6514956]
[paragraph, [32.0, 384.0, 295.0, 18.0], shoonya_2sLGWC28F0MNAN, 6514956]
[paragraph, [32.0, 402.0, 295.0, 18.0], shoonya_2sLGWC28F0MNAN, 6514956]
[paragraph, [32.0, 420.0, 295.0, 18.0], shoonya_2sLGWC28F0MNAN, 6514956]
[paragraph, [32.0, 438.0, 295.0, 18.0], shoonya_2sLGWC28F0MNAN, 6514956]
[paragraph, [32.0, 456.0, 295.0, 18.0], shoonya_2sLGWC28F0MNAN, 6514956]
[paragraph, [27.0, 493.0, 304.0, 18.0], ScFK6w5V_F, 6514956]
[paragraph, [27.0, 511.0, 304.0, 18.0], ScFK6w5V_F, 6514956]
