[590, 396]
[paragraph, [63.0, 54.0, 306.0, 18.0], shoonya_0sOAKWZRNOMYZ8, 6516877]
[paragraph, [63.0, 72.0, 306.0, 18.0], shoonya_0sOAKWZRNOMYZ8, 6516877]
[paragraph, [65.0, 95.0, 307.0, 18.0], K-QhXWky-a, 6516877]
[paragraph, [66.0, 134.0, 308.0, 18.0], qIuSWZopBy, 6516877]
[paragraph, [66.0, 152.0, 308.0, 18.0], qIuSWZopBy, 6516877]
[paragraph, [66.0, 170.0, 308.0, 18.0], qIuSWZopBy, 6516877]
[paragraph, [66.0, 188.0, 308.0, 18.0], qIuSWZopBy, 6516877]
[paragraph, [93.0, 208.0, 152.0, 18.0], u-sDfAOFNt, 6516877]
[paragraph, [69.0, 230.0, 305.0, 18.0], ki-rT0pRoJ, 6516877]
[paragraph, [69.0, 248.0, 305.0, 18.0], ki-rT0pRoJ, 6516877]
[paragraph, [94.0, 286.0, 203.0, 18.0], f5plJGg-HW, 6516877]
[paragraph, [94.0, 307.0, 82.0, 18.0], pFpWTNWlDy, 6516877]
[paragraph, [94.0, 328.0, 178.0, 18.0], I49rNjtrbL, 6516877]
[paragraph, [70.0, 351.0, 297.0, 18.0], B2HgnPZvTi, 6516877]
[paragraph, [70.0, 369.0, 297.0, 18.0], B2HgnPZvTi, 6516877]
[paragraph, [94.0, 406.0, 176.0, 18.0], R8Iw02lzP0, 6516877]
[paragraph, [94.0, 426.0, 223.0, 18.0], wKTP0ULzcu, 6516877]
[paragraph, [69.0, 469.0, 299.0, 18.0], shtJNiLPPA, 6516877]
[paragraph, [69.0, 487.0, 299.0, 18.0], shtJNiLPPA, 6516877]
[paragraph, [69.0, 505.0, 299.0, 18.0], shtJNiLPPA, 6516877]
[folio, [275.0, 535.0, 74.0, 18.0], Puz-WA4b9Q, 6516877]
