[612, 396]
[paragraph, [50.0, 50.0, 296.0, 18.0], CkLKkUrkLs, 6516580]
[paragraph, [50.0, 83.0, 297.0, 18.0], 1FEAk6fR1Q, 6516580]
[paragraph, [50.0, 101.0, 297.0, 18.0], 1FEAk6fR1Q, 6516580]
[paragraph, [50.0, 119.0, 297.0, 18.0], 1FEAk6fR1Q, 6516580]
[paragraph, [50.0, 137.0, 297.0, 18.0], 1FEAk6fR1Q, 6516580]
[paragraph, [50.0, 155.0, 297.0, 18.0], 1FEAk6fR1Q, 6516580]
[paragraph, [50.0, 173.0, 297.0, 18.0], 1FEAk6fR1Q, 6516580]
[paragraph, [47.0, 194.0, 299.0, 18.0], shoonya_0sGGS6BFT406QI, 6516580]
[paragraph, [47.0, 212.0, 299.0, 18.0], shoonya_0sGGS6BFT406QI, 6516580]
[paragraph, [47.0, 230.0, 299.0, 18.0], shoonya_0sGGS6BFT406QI, 6516580]
[paragraph, [47.0, 248.0, 299.0, 18.0], shoonya_0sGGS6BFT406QI, 6516580]
[paragraph, [47.0, 266.0, 299.0, 18.0], shoonya_0sGGS6BFT406QI, 6516580]
[paragraph, [48.0, 301.0, 299.0, 18.0], SkvCg51kLm, 6516580]
[paragraph, [48.0, 319.0, 299.0, 18.0], SkvCg51kLm, 6516580]
[paragraph, [48.0, 337.0, 299.0, 18.0], SkvCg51kLm, 6516580]
[paragraph, [48.0, 355.0, 299.0, 18.0], SkvCg51kLm, 6516580]
[paragraph, [48.0, 381.0, 301.0, 18.0], k8ZQyLOGOu, 6516580]
[paragraph, [48.0, 399.0, 301.0, 18.0], k8ZQyLOGOu, 6516580]
[paragraph, [48.0, 417.0, 301.0, 18.0], k8ZQyLOGOu, 6516580]
[paragraph, [48.0, 435.0, 301.0, 18.0], k8ZQyLOGOu, 6516580]
[paragraph, [48.0, 453.0, 301.0, 18.0], k8ZQyLOGOu, 6516580]
[paragraph, [48.0, 471.0, 301.0, 18.0], k8ZQyLOGOu, 6516580]
[paragraph, [48.0, 489.0, 301.0, 18.0], k8ZQyLOGOu, 6516580]
[paragraph, [48.0, 507.0, 301.0, 18.0], k8ZQyLOGOu, 6516580]
