[595, 397]
[folio, [46.0, 45.0, 52.0, 18.0], PF9qb3aX80, 6515206]
[paragraph, [45.0, 83.0, 308.0, 18.0], shoonya_0sQIHXA1AB4EMO, 6515206]
[paragraph, [45.0, 101.0, 308.0, 18.0], shoonya_0sQIHXA1AB4EMO, 6515206]
[paragraph, [45.0, 119.0, 308.0, 18.0], shoonya_0sQIHXA1AB4EMO, 6515206]
[paragraph, [45.0, 137.0, 308.0, 18.0], shoonya_0sQIHXA1AB4EMO, 6515206]
[paragraph, [45.0, 155.0, 308.0, 18.0], shoonya_0sQIHXA1AB4EMO, 6515206]
[paragraph, [45.0, 173.0, 308.0, 18.0], shoonya_0sQIHXA1AB4EMO, 6515206]
[paragraph, [44.0, 212.0, 309.0, 18.0], qaF33ay6Cq, 6515206]
[paragraph, [44.0, 230.0, 309.0, 18.0], qaF33ay6Cq, 6515206]
[paragraph, [44.0, 248.0, 309.0, 18.0], qaF33ay6Cq, 6515206]
[paragraph, [44.0, 266.0, 309.0, 18.0], qaF33ay6Cq, 6515206]
[paragraph, [44.0, 284.0, 309.0, 18.0], qaF33ay6Cq, 6515206]
[paragraph, [44.0, 302.0, 309.0, 18.0], qaF33ay6Cq, 6515206]
[paragraph, [44.0, 320.0, 309.0, 18.0], qaF33ay6Cq, 6515206]
[paragraph, [44.0, 338.0, 309.0, 18.0], qaF33ay6Cq, 6515206]
[paragraph, [44.0, 356.0, 309.0, 18.0], qaF33ay6Cq, 6515206]
[paragraph, [44.0, 374.0, 309.0, 18.0], qaF33ay6Cq, 6515206]
[paragraph, [44.0, 392.0, 309.0, 18.0], qaF33ay6Cq, 6515206]
[paragraph, [44.0, 410.0, 309.0, 18.0], qaF33ay6Cq, 6515206]
[paragraph, [43.0, 445.0, 307.0, 18.0], k45HTETPhi, 6515206]
[paragraph, [43.0, 463.0, 307.0, 18.0], k45HTETPhi, 6515206]
[paragraph, [43.0, 481.0, 307.0, 18.0], k45HTETPhi, 6515206]
[paragraph, [43.0, 499.0, 307.0, 18.0], k45HTETPhi, 6515206]
[paragraph, [43.0, 517.0, 307.0, 18.0], k45HTETPhi, 6515206]
