[792, 612]
[paragraph, [146.0, 190.0, 318.0, 18.0], shoonya_0sQMNXFI4D7QIF, 6515359]
[paragraph, [146.0, 208.0, 318.0, 18.0], shoonya_0sQMNXFI4D7QIF, 6515359]
[paragraph, [146.0, 226.0, 318.0, 18.0], shoonya_0sQMNXFI4D7QIF, 6515359]
[paragraph, [146.0, 244.0, 318.0, 18.0], shoonya_0sQMNXFI4D7QIF, 6515359]
[paragraph, [146.0, 262.0, 318.0, 18.0], shoonya_0sQMNXFI4D7QIF, 6515359]
[paragraph, [146.0, 280.0, 318.0, 18.0], shoonya_0sQMNXFI4D7QIF, 6515359]
[paragraph, [146.0, 298.0, 318.0, 18.0], shoonya_0sQMNXFI4D7QIF, 6515359]
[paragraph, [146.0, 316.0, 318.0, 18.0], shoonya_0sQMNXFI4D7QIF, 6515359]
[paragraph, [146.0, 334.0, 318.0, 18.0], shoonya_0sQMNXFI4D7QIF, 6515359]
[paragraph, [146.0, 352.0, 318.0, 18.0], shoonya_0sQMNXFI4D7QIF, 6515359]
[paragraph, [146.0, 370.0, 318.0, 18.0], shoonya_0sQMNXFI4D7QIF, 6515359]
[paragraph, [149.0, 405.0, 315.0, 18.0], shoonya_1sPCPEQ9T4APTF, 6515359]
[paragraph, [149.0, 423.0, 315.0, 18.0], shoonya_1sPCPEQ9T4APTF, 6515359]
[paragraph, [149.0, 441.0, 315.0, 18.0], shoonya_1sPCPEQ9T4APTF, 6515359]
[paragraph, [149.0, 459.0, 315.0, 18.0], shoonya_1sPCPEQ9T4APTF, 6515359]
[paragraph, [149.0, 477.0, 315.0, 18.0], shoonya_1sPCPEQ9T4APTF, 6515359]
[paragraph, [149.0, 495.0, 315.0, 18.0], shoonya_1sPCPEQ9T4APTF, 6515359]
[paragraph, [149.0, 513.0, 315.0, 18.0], shoonya_1sPCPEQ9T4APTF, 6515359]
[paragraph, [149.0, 531.0, 315.0, 18.0], shoonya_1sPCPEQ9T4APTF, 6515359]
[paragraph, [149.0, 549.0, 315.0, 18.0], shoonya_1sPCPEQ9T4APTF, 6515359]
[paragraph, [149.0, 585.0, 316.0, 18.0], a-v-87F6OC, 6515359]
