[792, 612]
[folio, [311.0, 114.0, 149.0, 18.0], aww3HD3xv0, 6514268]
[paragraph, [146.0, 145.0, 322.0, 18.0], Swtr_MeXlv, 6514268]
[paragraph, [146.0, 163.0, 322.0, 18.0], Swtr_MeXlv, 6514268]
[paragraph, [146.0, 181.0, 322.0, 18.0], Swtr_MeXlv, 6514268]
[paragraph, [147.0, 206.0, 315.0, 18.0], KvpXusV_AL, 6514268]
[paragraph, [147.0, 224.0, 315.0, 18.0], KvpXusV_AL, 6514268]
[paragraph, [147.0, 242.0, 315.0, 18.0], KvpXusV_AL, 6514268]
[paragraph, [147.0, 260.0, 315.0, 18.0], KvpXusV_AL, 6514268]
[paragraph, [147.0, 278.0, 315.0, 18.0], KvpXusV_AL, 6514268]
[paragraph, [147.0, 296.0, 315.0, 18.0], KvpXusV_AL, 6514268]
[paragraph, [147.0, 314.0, 315.0, 18.0], KvpXusV_AL, 6514268]
[paragraph, [147.0, 332.0, 315.0, 18.0], KvpXusV_AL, 6514268]
[paragraph, [147.0, 350.0, 315.0, 18.0], KvpXusV_AL, 6514268]
[paragraph, [147.0, 368.0, 315.0, 18.0], KvpXusV_AL, 6514268]
[paragraph, [147.0, 386.0, 315.0, 18.0], KvpXusV_AL, 6514268]
[paragraph, [147.0, 415.0, 315.0, 18.0], MpfnFZB0F5, 6514268]
[paragraph, [147.0, 433.0, 315.0, 18.0], MpfnFZB0F5, 6514268]
[paragraph, [147.0, 451.0, 315.0, 18.0], MpfnFZB0F5, 6514268]
[paragraph, [147.0, 469.0, 315.0, 18.0], MpfnFZB0F5, 6514268]
[paragraph, [147.0, 487.0, 315.0, 18.0], MpfnFZB0F5, 6514268]
[paragraph, [147.0, 505.0, 315.0, 18.0], MpfnFZB0F5, 6514268]
[paragraph, [147.0, 523.0, 315.0, 18.0], MpfnFZB0F5, 6514268]
[paragraph, [147.0, 541.0, 315.0, 18.0], MpfnFZB0F5, 6514268]
[paragraph, [147.0, 559.0, 315.0, 18.0], MpfnFZB0F5, 6514268]
[paragraph, [144.0, 592.0, 317.0, 18.0], TQPy8Qp8ge, 6514268]
[paragraph, [144.0, 610.0, 317.0, 18.0], TQPy8Qp8ge, 6514268]
[paragraph, [144.0, 628.0, 317.0, 18.0], TQPy8Qp8ge, 6514268]
