[1034, 680]
[folio, [225.0, 62.0, 213.0, 18.0], shoonya_0s61CZ4XXE1PA2, 5739891]
[folio, [225.0, 80.0, 213.0, 18.0], shoonya_0s61CZ4XXE1PA2, 5739891]
[paragraph, [61.0, 122.0, 555.0, 18.0], gZoX62U-5j, 5739891]
[paragraph, [61.0, 140.0, 555.0, 18.0], gZoX62U-5j, 5739891]
[paragraph, [61.0, 158.0, 555.0, 18.0], gZoX62U-5j, 5739891]
[paragraph, [61.0, 176.0, 555.0, 18.0], gZoX62U-5j, 5739891]
[paragraph, [61.0, 194.0, 555.0, 18.0], gZoX62U-5j, 5739891]
[paragraph, [61.0, 212.0, 555.0, 18.0], gZoX62U-5j, 5739891]
[paragraph, [61.0, 230.0, 555.0, 18.0], gZoX62U-5j, 5739891]
[paragraph, [61.0, 248.0, 555.0, 18.0], gZoX62U-5j, 5739891]
[paragraph, [61.0, 266.0, 555.0, 18.0], gZoX62U-5j, 5739891]
[paragraph, [61.0, 284.0, 555.0, 18.0], gZoX62U-5j, 5739891]
[paragraph, [61.0, 302.0, 555.0, 18.0], gZoX62U-5j, 5739891]
[paragraph, [61.0, 320.0, 555.0, 18.0], gZoX62U-5j, 5739891]
[paragraph, [61.0, 338.0, 555.0, 18.0], gZoX62U-5j, 5739891]
[paragraph, [48.0, 375.0, 595.0, 18.0], R4y5moEALr, 5739891]
[paragraph, [48.0, 393.0, 595.0, 18.0], R4y5moEALr, 5739891]
[paragraph, [48.0, 411.0, 595.0, 18.0], R4y5moEALr, 5739891]
[paragraph, [48.0, 429.0, 595.0, 18.0], R4y5moEALr, 5739891]
[paragraph, [48.0, 447.0, 595.0, 18.0], R4y5moEALr, 5739891]
[paragraph, [48.0, 465.0, 595.0, 18.0], R4y5moEALr, 5739891]
[paragraph, [48.0, 483.0, 595.0, 18.0], R4y5moEALr, 5739891]
[paragraph, [48.0, 501.0, 595.0, 18.0], R4y5moEALr, 5739891]
[paragraph, [48.0, 519.0, 595.0, 18.0], R4y5moEALr, 5739891]
[paragraph, [48.0, 537.0, 595.0, 18.0], R4y5moEALr, 5739891]
[paragraph, [48.0, 555.0, 595.0, 18.0], R4y5moEALr, 5739891]
[paragraph, [48.0, 573.0, 595.0, 18.0], R4y5moEALr, 5739891]
[paragraph, [48.0, 591.0, 595.0, 18.0], R4y5moEALr, 5739891]
[paragraph, [48.0, 609.0, 595.0, 18.0], R4y5moEALr, 5739891]
[section-title, [52.0, 635.0, 465.0, 30.0], TzFFGgwvbM, 5739891]
[paragraph, [60.0, 686.0, 569.0, 18.0], DW_x5FBh0N, 5739891]
[paragraph, [60.0, 704.0, 569.0, 18.0], DW_x5FBh0N, 5739891]
[paragraph, [60.0, 722.0, 569.0, 18.0], DW_x5FBh0N, 5739891]
[paragraph, [60.0, 740.0, 569.0, 18.0], DW_x5FBh0N, 5739891]
[paragraph, [60.0, 758.0, 569.0, 18.0], DW_x5FBh0N, 5739891]
[paragraph, [60.0, 776.0, 569.0, 18.0], DW_x5FBh0N, 5739891]
[paragraph, [60.0, 794.0, 569.0, 18.0], DW_x5FBh0N, 5739891]
[paragraph, [60.0, 812.0, 569.0, 18.0], DW_x5FBh0N, 5739891]
[paragraph, [60.0, 830.0, 569.0, 18.0], DW_x5FBh0N, 5739891]
[paragraph, [60.0, 848.0, 569.0, 18.0], DW_x5FBh0N, 5739891]
[paragraph, [60.0, 866.0, 569.0, 18.0], DW_x5FBh0N, 5739891]
[paragraph, [60.0, 884.0, 569.0, 18.0], DW_x5FBh0N, 5739891]
[paragraph, [60.0, 902.0, 569.0, 18.0], DW_x5FBh0N, 5739891]
[paragraph, [60.0, 920.0, 569.0, 18.0], DW_x5FBh0N, 5739891]
[paragraph, [60.0, 938.0, 569.0, 18.0], DW_x5FBh0N, 5739891]
[paragraph, [60.0, 956.0, 569.0, 18.0], DW_x5FBh0N, 5739891]
