[1063, 680]
[paragraph, [64.0, 128.0, 555.0, 18.0], jj_GzTKNBI, 5739527]
[paragraph, [64.0, 146.0, 555.0, 18.0], jj_GzTKNBI, 5739527]
[paragraph, [64.0, 164.0, 555.0, 18.0], jj_GzTKNBI, 5739527]
[paragraph, [64.0, 182.0, 555.0, 18.0], jj_GzTKNBI, 5739527]
[paragraph, [64.0, 200.0, 555.0, 18.0], jj_GzTKNBI, 5739527]
[paragraph, [64.0, 218.0, 555.0, 18.0], jj_GzTKNBI, 5739527]
[paragraph, [64.0, 236.0, 555.0, 18.0], jj_GzTKNBI, 5739527]
[paragraph, [64.0, 254.0, 555.0, 18.0], jj_GzTKNBI, 5739527]
[paragraph, [64.0, 272.0, 555.0, 18.0], jj_GzTKNBI, 5739527]
[paragraph, [64.0, 290.0, 555.0, 18.0], jj_GzTKNBI, 5739527]
[paragraph, [64.0, 308.0, 555.0, 18.0], jj_GzTKNBI, 5739527]
[paragraph, [64.0, 326.0, 555.0, 18.0], jj_GzTKNBI, 5739527]
[paragraph, [66.0, 380.0, 554.0, 18.0], Ss8kmSULH4, 5739527]
[paragraph, [66.0, 398.0, 554.0, 18.0], Ss8kmSULH4, 5739527]
[paragraph, [66.0, 416.0, 554.0, 18.0], Ss8kmSULH4, 5739527]
[paragraph, [66.0, 434.0, 554.0, 18.0], Ss8kmSULH4, 5739527]
[paragraph, [66.0, 452.0, 554.0, 18.0], Ss8kmSULH4, 5739527]
[paragraph, [66.0, 470.0, 554.0, 18.0], Ss8kmSULH4, 5739527]
[paragraph, [66.0, 488.0, 554.0, 18.0], Ss8kmSULH4, 5739527]
[paragraph, [66.0, 506.0, 554.0, 18.0], Ss8kmSULH4, 5739527]
[paragraph, [66.0, 524.0, 554.0, 18.0], Ss8kmSULH4, 5739527]
[paragraph, [66.0, 542.0, 554.0, 18.0], Ss8kmSULH4, 5739527]
[paragraph, [66.0, 560.0, 554.0, 18.0], Ss8kmSULH4, 5739527]
[paragraph, [66.0, 578.0, 554.0, 18.0], Ss8kmSULH4, 5739527]
[paragraph, [66.0, 596.0, 554.0, 18.0], Ss8kmSULH4, 5739527]
[paragraph, [66.0, 614.0, 554.0, 18.0], Ss8kmSULH4, 5739527]
[paragraph, [66.0, 632.0, 554.0, 18.0], Ss8kmSULH4, 5739527]
[paragraph, [66.0, 650.0, 554.0, 18.0], Ss8kmSULH4, 5739527]
[paragraph, [66.0, 668.0, 554.0, 18.0], Ss8kmSULH4, 5739527]
[paragraph, [66.0, 686.0, 554.0, 18.0], Ss8kmSULH4, 5739527]
[paragraph, [66.0, 704.0, 554.0, 18.0], Ss8kmSULH4, 5739527]
[paragraph, [66.0, 722.0, 554.0, 18.0], Ss8kmSULH4, 5739527]
[paragraph, [66.0, 740.0, 554.0, 18.0], Ss8kmSULH4, 5739527]
[paragraph, [66.0, 758.0, 554.0, 18.0], Ss8kmSULH4, 5739527]
[paragraph, [66.0, 776.0, 554.0, 18.0], Ss8kmSULH4, 5739527]
[paragraph, [66.0, 794.0, 554.0, 18.0], Ss8kmSULH4, 5739527]
[paragraph, [66.0, 812.0, 554.0, 18.0], Ss8kmSULH4, 5739527]
[paragraph, [66.0, 830.0, 554.0, 18.0], Ss8kmSULH4, 5739527]
[paragraph, [66.0, 848.0, 554.0, 18.0], Ss8kmSULH4, 5739527]
[paragraph, [66.0, 866.0, 554.0, 18.0], Ss8kmSULH4, 5739527]
[paragraph, [66.0, 884.0, 554.0, 18.0], Ss8kmSULH4, 5739527]
[paragraph, [66.0, 902.0, 554.0, 18.0], Ss8kmSULH4, 5739527]
[paragraph, [66.0, 920.0, 554.0, 18.0], Ss8kmSULH4, 5739527]
[paragraph, [66.0, 938.0, 554.0, 18.0], Ss8kmSULH4, 5739527]
[paragraph, [66.0, 956.0, 554.0, 18.0], Ss8kmSULH4, 5739527]
[footnote, [456.0, 1016.0, 185.0, 18.0], DoLFJiNVS7, 5739527]
