[1578, 1028]
[paragraph, [77.0, 33.0, 866.0, 36.0], shoonya_6sBFEU56SX4XBI, 5749887]
[paragraph, [77.0, 69.0, 866.0, 36.0], shoonya_6sBFEU56SX4XBI, 5749887]
[paragraph, [74.0, 122.0, 875.0, 36.0], shoonya_0sR97H239FWING, 5749887]
[paragraph, [74.0, 158.0, 875.0, 36.0], shoonya_0sR97H239FWING, 5749887]
[paragraph, [74.0, 194.0, 875.0, 36.0], shoonya_0sR97H239FWING, 5749887]
[paragraph, [74.0, 230.0, 875.0, 36.0], shoonya_0sR97H239FWING, 5749887]
[paragraph, [74.0, 266.0, 875.0, 36.0], shoonya_0sR97H239FWING, 5749887]
[paragraph, [74.0, 302.0, 875.0, 36.0], shoonya_0sR97H239FWING, 5749887]
[paragraph, [74.0, 338.0, 875.0, 36.0], shoonya_0sR97H239FWING, 5749887]
[paragraph, [74.0, 374.0, 875.0, 36.0], shoonya_0sR97H239FWING, 5749887]
[paragraph, [74.0, 410.0, 875.0, 36.0], shoonya_0sR97H239FWING, 5749887]
[paragraph, [74.0, 446.0, 875.0, 36.0], shoonya_0sR97H239FWING, 5749887]
[paragraph, [78.0, 508.0, 868.0, 36.0], shoonya_3sFPHFUUAG7334, 5749887]
[paragraph, [78.0, 544.0, 868.0, 36.0], shoonya_3sFPHFUUAG7334, 5749887]
[paragraph, [78.0, 580.0, 868.0, 36.0], shoonya_3sFPHFUUAG7334, 5749887]
[paragraph, [78.0, 616.0, 868.0, 36.0], shoonya_3sFPHFUUAG7334, 5749887]
[paragraph, [74.0, 679.0, 870.0, 36.0], shoonya_1s4QQIL7IDPJL1, 5749887]
[paragraph, [74.0, 715.0, 870.0, 36.0], shoonya_1s4QQIL7IDPJL1, 5749887]
[paragraph, [74.0, 751.0, 870.0, 36.0], shoonya_1s4QQIL7IDPJL1, 5749887]
[paragraph, [74.0, 787.0, 870.0, 36.0], shoonya_1s4QQIL7IDPJL1, 5749887]
[paragraph, [74.0, 823.0, 870.0, 36.0], shoonya_1s4QQIL7IDPJL1, 5749887]
[paragraph, [74.0, 859.0, 870.0, 36.0], shoonya_1s4QQIL7IDPJL1, 5749887]
[paragraph, [74.0, 895.0, 870.0, 36.0], shoonya_1s4QQIL7IDPJL1, 5749887]
[paragraph, [71.0, 938.0, 874.0, 36.0], shoonya_2s1VJOHVM7T3AX, 5749887]
[paragraph, [71.0, 974.0, 874.0, 36.0], shoonya_2s1VJOHVM7T3AX, 5749887]
[paragraph, [71.0, 1010.0, 874.0, 36.0], shoonya_2s1VJOHVM7T3AX, 5749887]
[paragraph, [71.0, 1046.0, 874.0, 36.0], shoonya_2s1VJOHVM7T3AX, 5749887]
[paragraph, [71.0, 1082.0, 874.0, 36.0], shoonya_2s1VJOHVM7T3AX, 5749887]
[paragraph, [71.0, 1118.0, 874.0, 36.0], shoonya_2s1VJOHVM7T3AX, 5749887]
[paragraph, [71.0, 1154.0, 874.0, 36.0], shoonya_2s1VJOHVM7T3AX, 5749887]
[paragraph, [72.0, 1195.0, 867.0, 36.0], shoonya_5sQVLNHGLE15JA, 5749887]
[paragraph, [72.0, 1231.0, 867.0, 36.0], shoonya_5sQVLNHGLE15JA, 5749887]
[paragraph, [72.0, 1267.0, 867.0, 36.0], shoonya_5sQVLNHGLE15JA, 5749887]
[unordered-list, [70.0, 1363.0, 725.0, 36.0], shoonya_7sKBNQC0FPE6IB, 5749887]
[unordered-list, [70.0, 1399.0, 725.0, 36.0], shoonya_7sKBNQC0FPE6IB, 5749887]
