[2339, 1656]
[paragraph, [82.0, 66.0, 709.0, 36.0], shoonya_1sW18IPTG2QXQQ, 5750084]
[paragraph, [82.0, 102.0, 709.0, 36.0], shoonya_1sW18IPTG2QXQQ, 5750084]
[paragraph, [82.0, 138.0, 709.0, 36.0], shoonya_1sW18IPTG2QXQQ, 5750084]
[paragraph, [82.0, 174.0, 709.0, 36.0], shoonya_1sW18IPTG2QXQQ, 5750084]
[paragraph, [82.0, 210.0, 709.0, 36.0], shoonya_1sW18IPTG2QXQQ, 5750084]
[paragraph, [82.0, 246.0, 709.0, 36.0], shoonya_1sW18IPTG2QXQQ, 5750084]
[paragraph, [82.0, 282.0, 709.0, 36.0], shoonya_1sW18IPTG2QXQQ, 5750084]
[paragraph, [82.0, 318.0, 709.0, 36.0], shoonya_1sW18IPTG2QXQQ, 5750084]
[paragraph, [82.0, 354.0, 709.0, 36.0], shoonya_1sW18IPTG2QXQQ, 5750084]
[paragraph, [82.0, 390.0, 709.0, 36.0], shoonya_1sW18IPTG2QXQQ, 5750084]
[paragraph, [82.0, 426.0, 709.0, 36.0], shoonya_1sW18IPTG2QXQQ, 5750084]
[paragraph, [82.0, 462.0, 709.0, 36.0], shoonya_1sW18IPTG2QXQQ, 5750084]
[paragraph, [82.0, 498.0, 709.0, 36.0], shoonya_1sW18IPTG2QXQQ, 5750084]
[paragraph, [82.0, 534.0, 709.0, 36.0], shoonya_1sW18IPTG2QXQQ, 5750084]
[paragraph, [82.0, 570.0, 709.0, 36.0], shoonya_1sW18IPTG2QXQQ, 5750084]
[paragraph, [82.0, 606.0, 709.0, 36.0], shoonya_1sW18IPTG2QXQQ, 5750084]
[paragraph, [82.0, 642.0, 709.0, 36.0], shoonya_1sW18IPTG2QXQQ, 5750084]
[paragraph, [82.0, 678.0, 709.0, 36.0], shoonya_1sW18IPTG2QXQQ, 5750084]
[paragraph, [82.0, 714.0, 709.0, 36.0], shoonya_1sW18IPTG2QXQQ, 5750084]
[paragraph, [82.0, 750.0, 709.0, 36.0], shoonya_1sW18IPTG2QXQQ, 5750084]
[paragraph, [82.0, 786.0, 709.0, 36.0], shoonya_1sW18IPTG2QXQQ, 5750084]
[paragraph, [82.0, 822.0, 709.0, 36.0], shoonya_1sW18IPTG2QXQQ, 5750084]
[paragraph, [82.0, 858.0, 709.0, 36.0], shoonya_1sW18IPTG2QXQQ, 5750084]
[paragraph, [82.0, 894.0, 709.0, 36.0], shoonya_1sW18IPTG2QXQQ, 5750084]
[paragraph, [82.0, 930.0, 709.0, 36.0], shoonya_1sW18IPTG2QXQQ, 5750084]
[paragraph, [82.0, 966.0, 709.0, 36.0], shoonya_1sW18IPTG2QXQQ, 5750084]
[paragraph, [82.0, 1002.0, 709.0, 36.0], shoonya_1sW18IPTG2QXQQ, 5750084]
[paragraph, [82.0, 1038.0, 709.0, 36.0], shoonya_1sW18IPTG2QXQQ, 5750084]
[paragraph, [82.0, 1074.0, 709.0, 36.0], shoonya_1sW18IPTG2QXQQ, 5750084]
[paragraph, [82.0, 1110.0, 709.0, 36.0], shoonya_1sW18IPTG2QXQQ, 5750084]
[paragraph, [82.0, 1146.0, 709.0, 36.0], shoonya_1sW18IPTG2QXQQ, 5750084]
[paragraph, [82.0, 1182.0, 709.0, 36.0], shoonya_1sW18IPTG2QXQQ, 5750084]
[paragraph, [82.0, 1218.0, 709.0, 36.0], shoonya_1sW18IPTG2QXQQ, 5750084]
[paragraph, [82.0, 1254.0, 709.0, 36.0], shoonya_1sW18IPTG2QXQQ, 5750084]
[paragraph, [82.0, 1290.0, 709.0, 36.0], shoonya_1sW18IPTG2QXQQ, 5750084]
[paragraph, [82.0, 1326.0, 709.0, 36.0], shoonya_1sW18IPTG2QXQQ, 5750084]
[paragraph, [82.0, 1362.0, 709.0, 36.0], shoonya_1sW18IPTG2QXQQ, 5750084]
[paragraph, [82.0, 1398.0, 709.0, 36.0], shoonya_1sW18IPTG2QXQQ, 5750084]
[paragraph, [82.0, 1434.0, 709.0, 36.0], shoonya_1sW18IPTG2QXQQ, 5750084]
[paragraph, [82.0, 1470.0, 709.0, 36.0], shoonya_1sW18IPTG2QXQQ, 5750084]
[paragraph, [82.0, 1506.0, 709.0, 36.0], shoonya_1sW18IPTG2QXQQ, 5750084]
[paragraph, [82.0, 1542.0, 709.0, 36.0], shoonya_1sW18IPTG2QXQQ, 5750084]
[paragraph, [82.0, 1578.0, 709.0, 36.0], shoonya_1sW18IPTG2QXQQ, 5750084]
[paragraph, [82.0, 1614.0, 709.0, 36.0], shoonya_1sW18IPTG2QXQQ, 5750084]
[paragraph, [82.0, 1650.0, 709.0, 36.0], shoonya_1sW18IPTG2QXQQ, 5750084]
[paragraph, [82.0, 1686.0, 709.0, 36.0], shoonya_1sW18IPTG2QXQQ, 5750084]
[paragraph, [82.0, 1722.0, 709.0, 36.0], shoonya_1sW18IPTG2QXQQ, 5750084]
[paragraph, [82.0, 1758.0, 709.0, 36.0], shoonya_1sW18IPTG2QXQQ, 5750084]
[paragraph, [82.0, 1794.0, 709.0, 36.0], shoonya_1sW18IPTG2QXQQ, 5750084]
[paragraph, [82.0, 1830.0, 709.0, 36.0], shoonya_1sW18IPTG2QXQQ, 5750084]
[paragraph, [820.0, 72.0, 708.0, 36.0], shoonya_2sVEAR4NWJGTBV, 5750084]
[paragraph, [820.0, 108.0, 708.0, 36.0], shoonya_2sVEAR4NWJGTBV, 5750084]
[paragraph, [820.0, 144.0, 708.0, 36.0], shoonya_2sVEAR4NWJGTBV, 5750084]
[paragraph, [820.0, 180.0, 708.0, 36.0], shoonya_2sVEAR4NWJGTBV, 5750084]
[paragraph, [820.0, 216.0, 708.0, 36.0], shoonya_2sVEAR4NWJGTBV, 5750084]
[paragraph, [820.0, 252.0, 708.0, 36.0], shoonya_2sVEAR4NWJGTBV, 5750084]
[paragraph, [820.0, 288.0, 708.0, 36.0], shoonya_2sVEAR4NWJGTBV, 5750084]
[paragraph, [820.0, 324.0, 708.0, 36.0], shoonya_2sVEAR4NWJGTBV, 5750084]
[paragraph, [820.0, 360.0, 708.0, 36.0], shoonya_2sVEAR4NWJGTBV, 5750084]
[paragraph, [820.0, 396.0, 708.0, 36.0], shoonya_2sVEAR4NWJGTBV, 5750084]
[paragraph, [820.0, 432.0, 708.0, 36.0], shoonya_2sVEAR4NWJGTBV, 5750084]
[paragraph, [820.0, 468.0, 708.0, 36.0], shoonya_2sVEAR4NWJGTBV, 5750084]
[paragraph, [820.0, 504.0, 708.0, 36.0], shoonya_2sVEAR4NWJGTBV, 5750084]
[paragraph, [820.0, 540.0, 708.0, 36.0], shoonya_2sVEAR4NWJGTBV, 5750084]
[paragraph, [820.0, 576.0, 708.0, 36.0], shoonya_2sVEAR4NWJGTBV, 5750084]
[paragraph, [822.0, 617.0, 706.0, 36.0], shoonya_4sHKFF9BPOIXNS, 5750084]
[paragraph, [822.0, 653.0, 706.0, 36.0], shoonya_4sHKFF9BPOIXNS, 5750084]
[paragraph, [822.0, 689.0, 706.0, 36.0], shoonya_4sHKFF9BPOIXNS, 5750084]
[paragraph, [822.0, 725.0, 706.0, 36.0], shoonya_4sHKFF9BPOIXNS, 5750084]
[paragraph, [822.0, 761.0, 706.0, 36.0], shoonya_4sHKFF9BPOIXNS, 5750084]
[paragraph, [822.0, 797.0, 706.0, 36.0], shoonya_4sHKFF9BPOIXNS, 5750084]
[paragraph, [822.0, 833.0, 706.0, 36.0], shoonya_4sHKFF9BPOIXNS, 5750084]
[paragraph, [822.0, 869.0, 706.0, 36.0], shoonya_4sHKFF9BPOIXNS, 5750084]
[paragraph, [822.0, 905.0, 706.0, 36.0], shoonya_4sHKFF9BPOIXNS, 5750084]
[paragraph, [822.0, 941.0, 706.0, 36.0], shoonya_4sHKFF9BPOIXNS, 5750084]
