[2339, 1656]
[paragraph, [113.0, 91.0, 740.0, 36.0], shoonya_3sT353C5M5UZES, 5749458]
[paragraph, [113.0, 127.0, 740.0, 36.0], shoonya_3sT353C5M5UZES, 5749458]
[paragraph, [113.0, 163.0, 740.0, 36.0], shoonya_3sT353C5M5UZES, 5749458]
[paragraph, [113.0, 199.0, 740.0, 36.0], shoonya_3sT353C5M5UZES, 5749458]
[paragraph, [113.0, 235.0, 740.0, 36.0], shoonya_3sT353C5M5UZES, 5749458]
[paragraph, [113.0, 271.0, 740.0, 36.0], shoonya_3sT353C5M5UZES, 5749458]
[paragraph, [113.0, 307.0, 740.0, 36.0], shoonya_3sT353C5M5UZES, 5749458]
[paragraph, [113.0, 343.0, 740.0, 36.0], shoonya_3sT353C5M5UZES, 5749458]
[paragraph, [113.0, 379.0, 740.0, 36.0], shoonya_3sT353C5M5UZES, 5749458]
[paragraph, [113.0, 415.0, 740.0, 36.0], shoonya_3sT353C5M5UZES, 5749458]
[paragraph, [113.0, 451.0, 740.0, 36.0], shoonya_3sT353C5M5UZES, 5749458]
[paragraph, [113.0, 487.0, 740.0, 36.0], shoonya_3sT353C5M5UZES, 5749458]
[paragraph, [113.0, 523.0, 740.0, 36.0], shoonya_3sT353C5M5UZES, 5749458]
[paragraph, [113.0, 559.0, 740.0, 36.0], shoonya_3sT353C5M5UZES, 5749458]
[paragraph, [113.0, 595.0, 740.0, 36.0], shoonya_3sT353C5M5UZES, 5749458]
[paragraph, [113.0, 631.0, 740.0, 36.0], shoonya_3sT353C5M5UZES, 5749458]
[paragraph, [113.0, 667.0, 740.0, 36.0], shoonya_3sT353C5M5UZES, 5749458]
[paragraph, [113.0, 703.0, 740.0, 36.0], shoonya_3sT353C5M5UZES, 5749458]
[paragraph, [113.0, 739.0, 740.0, 36.0], shoonya_3sT353C5M5UZES, 5749458]
[paragraph, [113.0, 775.0, 740.0, 36.0], shoonya_3sT353C5M5UZES, 5749458]
[paragraph, [113.0, 811.0, 740.0, 36.0], shoonya_3sT353C5M5UZES, 5749458]
[paragraph, [113.0, 847.0, 740.0, 36.0], shoonya_3sT353C5M5UZES, 5749458]
[paragraph, [113.0, 883.0, 740.0, 36.0], shoonya_3sT353C5M5UZES, 5749458]
[paragraph, [113.0, 919.0, 740.0, 36.0], shoonya_3sT353C5M5UZES, 5749458]
[paragraph, [113.0, 955.0, 740.0, 36.0], shoonya_3sT353C5M5UZES, 5749458]
[paragraph, [113.0, 991.0, 740.0, 36.0], shoonya_3sT353C5M5UZES, 5749458]
[paragraph, [113.0, 1027.0, 740.0, 36.0], shoonya_3sT353C5M5UZES, 5749458]
[paragraph, [113.0, 1063.0, 740.0, 36.0], shoonya_3sT353C5M5UZES, 5749458]
[paragraph, [113.0, 1099.0, 740.0, 36.0], shoonya_3sT353C5M5UZES, 5749458]
[paragraph, [113.0, 1135.0, 740.0, 36.0], shoonya_3sT353C5M5UZES, 5749458]
[paragraph, [113.0, 1171.0, 740.0, 36.0], shoonya_3sT353C5M5UZES, 5749458]
[paragraph, [113.0, 1207.0, 740.0, 36.0], shoonya_3sT353C5M5UZES, 5749458]
[paragraph, [113.0, 1243.0, 740.0, 36.0], shoonya_3sT353C5M5UZES, 5749458]
[paragraph, [113.0, 1279.0, 740.0, 36.0], shoonya_3sT353C5M5UZES, 5749458]
[paragraph, [113.0, 1315.0, 740.0, 36.0], shoonya_3sT353C5M5UZES, 5749458]
[paragraph, [113.0, 1351.0, 740.0, 36.0], shoonya_3sT353C5M5UZES, 5749458]
[paragraph, [113.0, 1387.0, 740.0, 36.0], shoonya_3sT353C5M5UZES, 5749458]
[paragraph, [113.0, 1423.0, 740.0, 36.0], shoonya_3sT353C5M5UZES, 5749458]
[paragraph, [113.0, 1459.0, 740.0, 36.0], shoonya_3sT353C5M5UZES, 5749458]
[paragraph, [113.0, 1495.0, 740.0, 36.0], shoonya_3sT353C5M5UZES, 5749458]
[paragraph, [113.0, 1531.0, 740.0, 36.0], shoonya_3sT353C5M5UZES, 5749458]
[paragraph, [113.0, 1567.0, 740.0, 36.0], shoonya_3sT353C5M5UZES, 5749458]
[paragraph, [113.0, 1603.0, 740.0, 36.0], shoonya_3sT353C5M5UZES, 5749458]
[paragraph, [113.0, 1639.0, 740.0, 36.0], shoonya_3sT353C5M5UZES, 5749458]
[paragraph, [113.0, 1675.0, 740.0, 36.0], shoonya_3sT353C5M5UZES, 5749458]
[paragraph, [113.0, 1711.0, 740.0, 36.0], shoonya_3sT353C5M5UZES, 5749458]
[paragraph, [113.0, 1747.0, 740.0, 36.0], shoonya_3sT353C5M5UZES, 5749458]
[paragraph, [113.0, 1783.0, 740.0, 36.0], shoonya_3sT353C5M5UZES, 5749458]
[paragraph, [113.0, 1819.0, 740.0, 36.0], shoonya_3sT353C5M5UZES, 5749458]
[paragraph, [113.0, 1855.0, 740.0, 36.0], shoonya_3sT353C5M5UZES, 5749458]
[paragraph, [113.0, 1891.0, 740.0, 36.0], shoonya_3sT353C5M5UZES, 5749458]
[paragraph, [113.0, 1927.0, 740.0, 36.0], shoonya_3sT353C5M5UZES, 5749458]
[paragraph, [113.0, 1963.0, 740.0, 36.0], shoonya_3sT353C5M5UZES, 5749458]
[paragraph, [113.0, 1999.0, 740.0, 36.0], shoonya_3sT353C5M5UZES, 5749458]
[paragraph, [113.0, 2035.0, 740.0, 36.0], shoonya_3sT353C5M5UZES, 5749458]
[paragraph, [870.0, 134.0, 721.0, 36.0], shoonya_0sIV26GRVT2QVT, 5749458]
[paragraph, [870.0, 170.0, 721.0, 36.0], shoonya_0sIV26GRVT2QVT, 5749458]
[paragraph, [870.0, 206.0, 721.0, 36.0], shoonya_0sIV26GRVT2QVT, 5749458]
[paragraph, [870.0, 242.0, 721.0, 36.0], shoonya_0sIV26GRVT2QVT, 5749458]
[paragraph, [870.0, 278.0, 721.0, 36.0], shoonya_0sIV26GRVT2QVT, 5749458]
[paragraph, [870.0, 314.0, 721.0, 36.0], shoonya_0sIV26GRVT2QVT, 5749458]
[paragraph, [870.0, 350.0, 721.0, 36.0], shoonya_0sIV26GRVT2QVT, 5749458]
[paragraph, [870.0, 386.0, 721.0, 36.0], shoonya_0sIV26GRVT2QVT, 5749458]
[paragraph, [870.0, 422.0, 721.0, 36.0], shoonya_0sIV26GRVT2QVT, 5749458]
[paragraph, [870.0, 458.0, 721.0, 36.0], shoonya_0sIV26GRVT2QVT, 5749458]
[paragraph, [870.0, 494.0, 721.0, 36.0], shoonya_0sIV26GRVT2QVT, 5749458]
[paragraph, [870.0, 530.0, 721.0, 36.0], shoonya_0sIV26GRVT2QVT, 5749458]
[paragraph, [870.0, 566.0, 721.0, 36.0], shoonya_0sIV26GRVT2QVT, 5749458]
[paragraph, [870.0, 602.0, 721.0, 36.0], shoonya_0sIV26GRVT2QVT, 5749458]
[paragraph, [870.0, 638.0, 721.0, 36.0], shoonya_0sIV26GRVT2QVT, 5749458]
[paragraph, [870.0, 674.0, 721.0, 36.0], shoonya_0sIV26GRVT2QVT, 5749458]
[paragraph, [870.0, 710.0, 721.0, 36.0], shoonya_0sIV26GRVT2QVT, 5749458]
[paragraph, [870.0, 746.0, 721.0, 36.0], shoonya_0sIV26GRVT2QVT, 5749458]
[paragraph, [870.0, 782.0, 721.0, 36.0], shoonya_0sIV26GRVT2QVT, 5749458]
[paragraph, [870.0, 818.0, 721.0, 36.0], shoonya_0sIV26GRVT2QVT, 5749458]
[paragraph, [870.0, 854.0, 721.0, 36.0], shoonya_0sIV26GRVT2QVT, 5749458]
[paragraph, [870.0, 890.0, 721.0, 36.0], shoonya_0sIV26GRVT2QVT, 5749458]
[paragraph, [870.0, 926.0, 721.0, 36.0], shoonya_0sIV26GRVT2QVT, 5749458]
[paragraph, [870.0, 962.0, 721.0, 36.0], shoonya_0sIV26GRVT2QVT, 5749458]
[paragraph, [870.0, 998.0, 721.0, 36.0], shoonya_0sIV26GRVT2QVT, 5749458]
[paragraph, [870.0, 1034.0, 721.0, 36.0], shoonya_0sIV26GRVT2QVT, 5749458]
[paragraph, [870.0, 1070.0, 721.0, 36.0], shoonya_0sIV26GRVT2QVT, 5749458]
[paragraph, [870.0, 1106.0, 721.0, 36.0], shoonya_0sIV26GRVT2QVT, 5749458]
[paragraph, [870.0, 1142.0, 721.0, 36.0], shoonya_0sIV26GRVT2QVT, 5749458]
[paragraph, [870.0, 1178.0, 721.0, 36.0], shoonya_0sIV26GRVT2QVT, 5749458]
[paragraph, [870.0, 1214.0, 721.0, 36.0], shoonya_0sIV26GRVT2QVT, 5749458]
[paragraph, [870.0, 1250.0, 721.0, 36.0], shoonya_0sIV26GRVT2QVT, 5749458]
[paragraph, [895.0, 1300.0, 719.0, 36.0], shoonya_1sX7SIL7DFNGV7, 5749458]
[paragraph, [895.0, 1336.0, 719.0, 36.0], shoonya_1sX7SIL7DFNGV7, 5749458]
[paragraph, [895.0, 1372.0, 719.0, 36.0], shoonya_1sX7SIL7DFNGV7, 5749458]
[paragraph, [895.0, 1408.0, 719.0, 36.0], shoonya_1sX7SIL7DFNGV7, 5749458]
[paragraph, [895.0, 1444.0, 719.0, 36.0], shoonya_1sX7SIL7DFNGV7, 5749458]
