[1425, 1088]
[paragraph, [130.0, 130.0, 786.0, 18.0], shoonya_4sW33R9LXZ99FZ, 5758943]
[paragraph, [130.0, 148.0, 786.0, 18.0], shoonya_4sW33R9LXZ99FZ, 5758943]
[paragraph, [130.0, 166.0, 786.0, 18.0], shoonya_4sW33R9LXZ99FZ, 5758943]
[paragraph, [130.0, 184.0, 786.0, 18.0], shoonya_4sW33R9LXZ99FZ, 5758943]
[paragraph, [130.0, 202.0, 786.0, 18.0], shoonya_4sW33R9LXZ99FZ, 5758943]
[paragraph, [130.0, 220.0, 786.0, 18.0], shoonya_4sW33R9LXZ99FZ, 5758943]
[paragraph, [130.0, 238.0, 786.0, 18.0], shoonya_4sW33R9LXZ99FZ, 5758943]
[paragraph, [130.0, 256.0, 786.0, 18.0], shoonya_4sW33R9LXZ99FZ, 5758943]
[paragraph, [130.0, 274.0, 786.0, 18.0], shoonya_4sW33R9LXZ99FZ, 5758943]
[paragraph, [130.0, 292.0, 786.0, 18.0], shoonya_4sW33R9LXZ99FZ, 5758943]
[paragraph, [130.0, 310.0, 786.0, 18.0], shoonya_4sW33R9LXZ99FZ, 5758943]
[paragraph, [130.0, 328.0, 786.0, 18.0], shoonya_4sW33R9LXZ99FZ, 5758943]
[paragraph, [130.0, 346.0, 786.0, 18.0], shoonya_4sW33R9LXZ99FZ, 5758943]
[paragraph, [130.0, 364.0, 786.0, 18.0], shoonya_4sW33R9LXZ99FZ, 5758943]
[paragraph, [102.0, 434.0, 560.0, 18.0], QDeQcDu-ld, 5758943]
[paragraph, [102.0, 452.0, 560.0, 18.0], QDeQcDu-ld, 5758943]
[paragraph, [104.0, 505.0, 841.0, 18.0], shoonya_0sLS81Z02MHFX5, 5758943]
[paragraph, [104.0, 523.0, 841.0, 18.0], shoonya_0sLS81Z02MHFX5, 5758943]
[paragraph, [104.0, 541.0, 841.0, 18.0], shoonya_0sLS81Z02MHFX5, 5758943]
[paragraph, [104.0, 559.0, 841.0, 18.0], shoonya_0sLS81Z02MHFX5, 5758943]
[paragraph, [104.0, 577.0, 841.0, 18.0], shoonya_0sLS81Z02MHFX5, 5758943]
[paragraph, [104.0, 595.0, 841.0, 18.0], shoonya_0sLS81Z02MHFX5, 5758943]
[paragraph, [104.0, 613.0, 841.0, 18.0], shoonya_0sLS81Z02MHFX5, 5758943]
[paragraph, [104.0, 631.0, 841.0, 18.0], shoonya_0sLS81Z02MHFX5, 5758943]
[paragraph, [104.0, 649.0, 841.0, 18.0], shoonya_0sLS81Z02MHFX5, 5758943]
[paragraph, [104.0, 667.0, 841.0, 18.0], shoonya_0sLS81Z02MHFX5, 5758943]
[paragraph, [104.0, 685.0, 841.0, 18.0], shoonya_0sLS81Z02MHFX5, 5758943]
[paragraph, [104.0, 703.0, 841.0, 18.0], shoonya_0sLS81Z02MHFX5, 5758943]
[paragraph, [104.0, 721.0, 841.0, 18.0], shoonya_0sLS81Z02MHFX5, 5758943]
[paragraph, [104.0, 739.0, 841.0, 18.0], shoonya_0sLS81Z02MHFX5, 5758943]
[paragraph, [104.0, 757.0, 841.0, 18.0], shoonya_0sLS81Z02MHFX5, 5758943]
[paragraph, [104.0, 775.0, 841.0, 18.0], shoonya_0sLS81Z02MHFX5, 5758943]
[paragraph, [104.0, 793.0, 841.0, 18.0], shoonya_0sLS81Z02MHFX5, 5758943]
[paragraph, [104.0, 811.0, 841.0, 18.0], shoonya_0sLS81Z02MHFX5, 5758943]
[paragraph, [104.0, 829.0, 841.0, 18.0], shoonya_0sLS81Z02MHFX5, 5758943]
[paragraph, [104.0, 847.0, 841.0, 18.0], shoonya_0sLS81Z02MHFX5, 5758943]
[paragraph, [104.0, 865.0, 841.0, 18.0], shoonya_0sLS81Z02MHFX5, 5758943]
[paragraph, [104.0, 883.0, 841.0, 18.0], shoonya_0sLS81Z02MHFX5, 5758943]
[paragraph, [104.0, 901.0, 841.0, 18.0], shoonya_0sLS81Z02MHFX5, 5758943]
[paragraph, [104.0, 919.0, 841.0, 18.0], shoonya_0sLS81Z02MHFX5, 5758943]
[paragraph, [104.0, 937.0, 841.0, 18.0], shoonya_0sLS81Z02MHFX5, 5758943]
[paragraph, [104.0, 955.0, 841.0, 18.0], shoonya_0sLS81Z02MHFX5, 5758943]
[paragraph, [104.0, 973.0, 841.0, 18.0], shoonya_0sLS81Z02MHFX5, 5758943]
[paragraph, [104.0, 991.0, 841.0, 18.0], shoonya_0sLS81Z02MHFX5, 5758943]
[paragraph, [104.0, 1009.0, 841.0, 18.0], shoonya_0sLS81Z02MHFX5, 5758943]
