[1425, 1088]
[ordered-list, [83.0, 107.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[ordered-list, [83.0, 125.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[ordered-list, [83.0, 143.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[ordered-list, [83.0, 161.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[ordered-list, [83.0, 179.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[ordered-list, [83.0, 197.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[ordered-list, [83.0, 215.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[ordered-list, [83.0, 233.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[ordered-list, [83.0, 251.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[ordered-list, [83.0, 269.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[ordered-list, [83.0, 287.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[ordered-list, [83.0, 305.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[ordered-list, [83.0, 323.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[ordered-list, [83.0, 341.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[ordered-list, [83.0, 359.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[ordered-list, [83.0, 377.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[ordered-list, [83.0, 395.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[ordered-list, [83.0, 413.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[ordered-list, [83.0, 431.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[ordered-list, [83.0, 449.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[ordered-list, [83.0, 467.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[ordered-list, [83.0, 485.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[ordered-list, [83.0, 503.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[ordered-list, [83.0, 521.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[ordered-list, [83.0, 539.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[ordered-list, [83.0, 557.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[ordered-list, [83.0, 575.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[ordered-list, [83.0, 593.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[ordered-list, [83.0, 611.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[ordered-list, [83.0, 629.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[ordered-list, [83.0, 647.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[ordered-list, [83.0, 665.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[ordered-list, [83.0, 683.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[ordered-list, [83.0, 701.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[ordered-list, [83.0, 719.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[ordered-list, [83.0, 737.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[ordered-list, [83.0, 755.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[ordered-list, [83.0, 773.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[ordered-list, [83.0, 791.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[ordered-list, [83.0, 809.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[ordered-list, [83.0, 827.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[ordered-list, [83.0, 845.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[ordered-list, [83.0, 863.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[ordered-list, [83.0, 881.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[ordered-list, [83.0, 899.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[ordered-list, [83.0, 917.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[ordered-list, [83.0, 935.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[ordered-list, [83.0, 953.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[ordered-list, [83.0, 971.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[ordered-list, [83.0, 989.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[ordered-list, [83.0, 1007.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[ordered-list, [83.0, 1025.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[ordered-list, [83.0, 1043.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[ordered-list, [83.0, 1061.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[ordered-list, [83.0, 1079.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[ordered-list, [83.0, 1097.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[ordered-list, [83.0, 1115.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[ordered-list, [83.0, 1133.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[ordered-list, [83.0, 1151.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[ordered-list, [83.0, 1169.0, 884.0, 18.0], TCFSzJK-qA, 5759349]
[figure-caption, [229.0, 783.0, 586.0, 18.0], shoonya_6sDR80VN4CPM1Z, 5759349]
[figure-caption, [229.0, 801.0, 586.0, 18.0], shoonya_6sDR80VN4CPM1Z, 5759349]
[folio, [100.0, 1342.0, 166.0, 18.0], oFpiSAjjZX, 5759349]
