[1613, 1275]
[paragraph, [115.0, 615.0, 509.0, 36.0], shoonya_7s6MAICGTM51WQ, 5759124]
[paragraph, [115.0, 651.0, 509.0, 36.0], shoonya_7s6MAICGTM51WQ, 5759124]
[paragraph, [115.0, 687.0, 509.0, 36.0], shoonya_7s6MAICGTM51WQ, 5759124]
[paragraph, [115.0, 723.0, 509.0, 36.0], shoonya_7s6MAICGTM51WQ, 5759124]
[paragraph, [115.0, 759.0, 509.0, 36.0], shoonya_7s6MAICGTM51WQ, 5759124]
[paragraph, [115.0, 795.0, 509.0, 36.0], shoonya_7s6MAICGTM51WQ, 5759124]
[paragraph, [115.0, 831.0, 509.0, 36.0], shoonya_7s6MAICGTM51WQ, 5759124]
[paragraph, [115.0, 867.0, 509.0, 36.0], shoonya_7s6MAICGTM51WQ, 5759124]
[paragraph, [115.0, 903.0, 509.0, 36.0], shoonya_7s6MAICGTM51WQ, 5759124]
[paragraph, [115.0, 939.0, 509.0, 36.0], shoonya_7s6MAICGTM51WQ, 5759124]
[paragraph, [115.0, 975.0, 509.0, 36.0], shoonya_7s6MAICGTM51WQ, 5759124]
[paragraph, [115.0, 1011.0, 509.0, 36.0], shoonya_7s6MAICGTM51WQ, 5759124]
[paragraph, [115.0, 1047.0, 509.0, 36.0], shoonya_7s6MAICGTM51WQ, 5759124]
[unordered-list, [653.0, 623.0, 506.0, 36.0], shoonya_1sMVT6TRPIFZD5, 5759124]
[unordered-list, [653.0, 659.0, 506.0, 36.0], shoonya_1sMVT6TRPIFZD5, 5759124]
[unordered-list, [653.0, 695.0, 506.0, 36.0], shoonya_1sMVT6TRPIFZD5, 5759124]
[unordered-list, [653.0, 731.0, 506.0, 36.0], shoonya_1sMVT6TRPIFZD5, 5759124]
[unordered-list, [653.0, 767.0, 506.0, 36.0], shoonya_1sMVT6TRPIFZD5, 5759124]
[unordered-list, [653.0, 803.0, 506.0, 36.0], shoonya_1sMVT6TRPIFZD5, 5759124]
[unordered-list, [653.0, 839.0, 506.0, 36.0], shoonya_1sMVT6TRPIFZD5, 5759124]
[unordered-list, [653.0, 875.0, 506.0, 36.0], shoonya_1sMVT6TRPIFZD5, 5759124]
[unordered-list, [653.0, 911.0, 506.0, 36.0], shoonya_1sMVT6TRPIFZD5, 5759124]
[unordered-list, [653.0, 947.0, 506.0, 36.0], shoonya_1sMVT6TRPIFZD5, 5759124]
[unordered-list, [653.0, 983.0, 506.0, 36.0], shoonya_1sMVT6TRPIFZD5, 5759124]
[unordered-list, [653.0, 1019.0, 506.0, 36.0], shoonya_1sMVT6TRPIFZD5, 5759124]
[unordered-list, [653.0, 1055.0, 506.0, 36.0], shoonya_1sMVT6TRPIFZD5, 5759124]
[unordered-list, [653.0, 1091.0, 506.0, 36.0], shoonya_1sMVT6TRPIFZD5, 5759124]
[unordered-list, [653.0, 1127.0, 506.0, 36.0], shoonya_1sMVT6TRPIFZD5, 5759124]
[unordered-list, [653.0, 1163.0, 506.0, 36.0], shoonya_1sMVT6TRPIFZD5, 5759124]
[unordered-list, [653.0, 1199.0, 506.0, 36.0], shoonya_1sMVT6TRPIFZD5, 5759124]
[unordered-list, [653.0, 1235.0, 506.0, 36.0], shoonya_1sMVT6TRPIFZD5, 5759124]
[unordered-list, [653.0, 1271.0, 506.0, 36.0], shoonya_1sMVT6TRPIFZD5, 5759124]
[unordered-list, [653.0, 1307.0, 506.0, 36.0], shoonya_1sMVT6TRPIFZD5, 5759124]
[unordered-list, [653.0, 1343.0, 506.0, 36.0], shoonya_1sMVT6TRPIFZD5, 5759124]
[unordered-list, [653.0, 1379.0, 506.0, 36.0], shoonya_1sMVT6TRPIFZD5, 5759124]
[unordered-list, [653.0, 1415.0, 506.0, 36.0], shoonya_1sMVT6TRPIFZD5, 5759124]
[section-title, [117.0, 1130.0, 496.0, 49.5], shoonya_5sRUW9ZEC31QI1, 5759124]
[unordered-list, [114.0, 1216.0, 510.0, 36.0], shoonya_8sIB04U1YPOB5V, 5759124]
[unordered-list, [114.0, 1252.0, 510.0, 36.0], shoonya_8sIB04U1YPOB5V, 5759124]
[unordered-list, [114.0, 1288.0, 510.0, 36.0], shoonya_8sIB04U1YPOB5V, 5759124]
[unordered-list, [114.0, 1324.0, 510.0, 36.0], shoonya_8sIB04U1YPOB5V, 5759124]
[unordered-list, [114.0, 1360.0, 510.0, 36.0], shoonya_8sIB04U1YPOB5V, 5759124]
[unordered-list, [114.0, 1396.0, 510.0, 36.0], shoonya_8sIB04U1YPOB5V, 5759124]
