[1275, 750]
[folio, [221.0, 81.0, 306.0, 18.0], 72OFyepEi7, 5767663]
[folio, [221.0, 99.0, 306.0, 18.0], 72OFyepEi7, 5767663]
[folio, [221.0, 117.0, 306.0, 18.0], 72OFyepEi7, 5767663]
[paragraph, [60.0, 147.0, 620.0, 18.0], shoonya_0sX23VUMMSNGF6, 5767663]
[paragraph, [60.0, 165.0, 620.0, 18.0], shoonya_0sX23VUMMSNGF6, 5767663]
[paragraph, [60.0, 183.0, 620.0, 18.0], shoonya_0sX23VUMMSNGF6, 5767663]
[paragraph, [60.0, 201.0, 620.0, 18.0], shoonya_0sX23VUMMSNGF6, 5767663]
[paragraph, [60.0, 219.0, 620.0, 18.0], shoonya_0sX23VUMMSNGF6, 5767663]
[paragraph, [60.0, 237.0, 620.0, 18.0], shoonya_0sX23VUMMSNGF6, 5767663]
[paragraph, [60.0, 255.0, 620.0, 18.0], shoonya_0sX23VUMMSNGF6, 5767663]
[paragraph, [60.0, 273.0, 620.0, 18.0], shoonya_0sX23VUMMSNGF6, 5767663]
[paragraph, [60.0, 291.0, 620.0, 18.0], shoonya_0sX23VUMMSNGF6, 5767663]
[paragraph, [60.0, 309.0, 620.0, 18.0], shoonya_0sX23VUMMSNGF6, 5767663]
[paragraph, [60.0, 327.0, 620.0, 18.0], shoonya_0sX23VUMMSNGF6, 5767663]
[paragraph, [60.0, 345.0, 620.0, 18.0], shoonya_0sX23VUMMSNGF6, 5767663]
[paragraph, [60.0, 363.0, 620.0, 18.0], shoonya_0sX23VUMMSNGF6, 5767663]
[paragraph, [60.0, 381.0, 620.0, 18.0], shoonya_0sX23VUMMSNGF6, 5767663]
[paragraph, [60.0, 399.0, 620.0, 18.0], shoonya_0sX23VUMMSNGF6, 5767663]
[paragraph, [60.0, 417.0, 620.0, 18.0], shoonya_0sX23VUMMSNGF6, 5767663]
[paragraph, [60.0, 435.0, 620.0, 18.0], shoonya_0sX23VUMMSNGF6, 5767663]
[paragraph, [60.0, 453.0, 620.0, 18.0], shoonya_0sX23VUMMSNGF6, 5767663]
[paragraph, [60.0, 471.0, 620.0, 18.0], shoonya_0sX23VUMMSNGF6, 5767663]
[paragraph, [60.0, 489.0, 620.0, 18.0], shoonya_0sX23VUMMSNGF6, 5767663]
[paragraph, [60.0, 507.0, 620.0, 18.0], shoonya_0sX23VUMMSNGF6, 5767663]
[paragraph, [60.0, 525.0, 620.0, 18.0], shoonya_0sX23VUMMSNGF6, 5767663]
[paragraph, [60.0, 543.0, 620.0, 18.0], shoonya_0sX23VUMMSNGF6, 5767663]
[paragraph, [60.0, 561.0, 620.0, 18.0], shoonya_0sX23VUMMSNGF6, 5767663]
[paragraph, [60.0, 579.0, 620.0, 18.0], shoonya_0sX23VUMMSNGF6, 5767663]
[paragraph, [60.0, 597.0, 620.0, 18.0], shoonya_0sX23VUMMSNGF6, 5767663]
