[1275, 750]
[folio, [219.0, 90.0, 292.0, 18.0], 4ecfAzeJjQ, 5767398]
[folio, [219.0, 108.0, 292.0, 18.0], 4ecfAzeJjQ, 5767398]
[folio, [219.0, 126.0, 292.0, 18.0], 4ecfAzeJjQ, 5767398]
[paragraph, [44.0, 170.0, 682.0, 18.0], 29oDV2la9o, 5767398]
[paragraph, [44.0, 188.0, 682.0, 18.0], 29oDV2la9o, 5767398]
[paragraph, [44.0, 206.0, 682.0, 18.0], 29oDV2la9o, 5767398]
[paragraph, [44.0, 224.0, 682.0, 18.0], 29oDV2la9o, 5767398]
[paragraph, [44.0, 242.0, 682.0, 18.0], 29oDV2la9o, 5767398]
[paragraph, [44.0, 260.0, 682.0, 18.0], 29oDV2la9o, 5767398]
[paragraph, [44.0, 278.0, 682.0, 18.0], 29oDV2la9o, 5767398]
[paragraph, [44.0, 296.0, 682.0, 18.0], 29oDV2la9o, 5767398]
[paragraph, [44.0, 314.0, 682.0, 18.0], 29oDV2la9o, 5767398]
[paragraph, [44.0, 332.0, 682.0, 18.0], 29oDV2la9o, 5767398]
[paragraph, [44.0, 350.0, 682.0, 18.0], 29oDV2la9o, 5767398]
[paragraph, [44.0, 368.0, 682.0, 18.0], 29oDV2la9o, 5767398]
[paragraph, [44.0, 386.0, 682.0, 18.0], 29oDV2la9o, 5767398]
[paragraph, [44.0, 404.0, 682.0, 18.0], 29oDV2la9o, 5767398]
[paragraph, [44.0, 422.0, 682.0, 18.0], 29oDV2la9o, 5767398]
[paragraph, [44.0, 440.0, 682.0, 18.0], 29oDV2la9o, 5767398]
[paragraph, [44.0, 458.0, 682.0, 18.0], 29oDV2la9o, 5767398]
[paragraph, [44.0, 476.0, 682.0, 18.0], 29oDV2la9o, 5767398]
[paragraph, [44.0, 494.0, 682.0, 18.0], 29oDV2la9o, 5767398]
[paragraph, [44.0, 512.0, 682.0, 18.0], 29oDV2la9o, 5767398]
[paragraph, [44.0, 530.0, 682.0, 18.0], 29oDV2la9o, 5767398]
[paragraph, [44.0, 548.0, 682.0, 18.0], 29oDV2la9o, 5767398]
[paragraph, [44.0, 566.0, 682.0, 18.0], 29oDV2la9o, 5767398]
[paragraph, [44.0, 584.0, 682.0, 18.0], 29oDV2la9o, 5767398]
[paragraph, [44.0, 602.0, 682.0, 18.0], 29oDV2la9o, 5767398]
[paragraph, [44.0, 620.0, 682.0, 18.0], 29oDV2la9o, 5767398]
[paragraph, [44.0, 638.0, 682.0, 18.0], 29oDV2la9o, 5767398]
[paragraph, [44.0, 656.0, 682.0, 18.0], 29oDV2la9o, 5767398]
[paragraph, [44.0, 674.0, 682.0, 18.0], 29oDV2la9o, 5767398]
[paragraph, [44.0, 692.0, 682.0, 18.0], 29oDV2la9o, 5767398]
[paragraph, [44.0, 710.0, 682.0, 18.0], 29oDV2la9o, 5767398]
[paragraph, [44.0, 728.0, 682.0, 18.0], 29oDV2la9o, 5767398]
[paragraph, [44.0, 746.0, 682.0, 18.0], 29oDV2la9o, 5767398]
[paragraph, [44.0, 764.0, 682.0, 18.0], 29oDV2la9o, 5767398]
[paragraph, [44.0, 782.0, 682.0, 18.0], 29oDV2la9o, 5767398]
[paragraph, [44.0, 800.0, 682.0, 18.0], 29oDV2la9o, 5767398]
[paragraph, [44.0, 818.0, 682.0, 18.0], 29oDV2la9o, 5767398]
[paragraph, [44.0, 836.0, 682.0, 18.0], 29oDV2la9o, 5767398]
[paragraph, [44.0, 854.0, 682.0, 18.0], 29oDV2la9o, 5767398]
[paragraph, [44.0, 872.0, 682.0, 18.0], 29oDV2la9o, 5767398]
[paragraph, [44.0, 890.0, 682.0, 18.0], 29oDV2la9o, 5767398]
[paragraph, [44.0, 908.0, 682.0, 18.0], 29oDV2la9o, 5767398]
[paragraph, [44.0, 926.0, 682.0, 18.0], 29oDV2la9o, 5767398]
[paragraph, [44.0, 944.0, 682.0, 18.0], 29oDV2la9o, 5767398]
[paragraph, [44.0, 962.0, 682.0, 18.0], 29oDV2la9o, 5767398]
[paragraph, [44.0, 980.0, 682.0, 18.0], 29oDV2la9o, 5767398]
[paragraph, [44.0, 998.0, 682.0, 18.0], 29oDV2la9o, 5767398]
[paragraph, [44.0, 1016.0, 682.0, 18.0], 29oDV2la9o, 5767398]
[paragraph, [44.0, 1034.0, 682.0, 18.0], 29oDV2la9o, 5767398]
[paragraph, [44.0, 1052.0, 682.0, 18.0], 29oDV2la9o, 5767398]
[paragraph, [44.0, 1070.0, 682.0, 18.0], 29oDV2la9o, 5767398]
[paragraph, [44.0, 1088.0, 682.0, 18.0], 29oDV2la9o, 5767398]
[paragraph, [44.0, 1106.0, 682.0, 18.0], 29oDV2la9o, 5767398]
[paragraph, [44.0, 1124.0, 682.0, 18.0], 29oDV2la9o, 5767398]
[paragraph, [44.0, 1142.0, 682.0, 18.0], 29oDV2la9o, 5767398]
[paragraph, [44.0, 1160.0, 682.0, 18.0], 29oDV2la9o, 5767398]
